id_tiempo,fecha,hora_dia,franja,dia_semana,mes,año,es_hora_pico,franja_horaria
78,2024-10-15,6,Mañana,Tuesday,10,2024,0,Mañana
79,2024-02-08,14,Tarde,Thursday,2,2024,1,Tarde
80,2024-04-04,14,Tarde,Thursday,4,2024,1,Tarde
81,2024-11-29,8,Mañana,Friday,11,2024,0,Mañana
82,2024-10-15,1,Madrugada,Tuesday,10,2024,0,Madrugada
83,2024-04-27,3,Madrugada,Saturday,4,2024,0,Madrugada
84,2024-04-16,19,Noche,Tuesday,4,2024,1,Noche
85,2024-10-06,22,Noche,Sunday,10,2024,0,Noche
86,2024-02-05,10,Mañana,Monday,2,2024,0,Mañana
87,2024-12-05,6,Mañana,Thursday,12,2024,0,Mañana
88,2024-10-23,3,Madrugada,Wednesday,10,2024,0,Madrugada
89,2024-01-12,5,Madrugada,Friday,1,2024,0,Madrugada
90,2024-05-26,2,Madrugada,Sunday,5,2024,0,Madrugada
91,2024-09-18,17,Tarde,Wednesday,9,2024,0,Tarde
92,2024-01-18,15,Tarde,Thursday,1,2024,0,Tarde
93,2024-03-09,5,Madrugada,Saturday,3,2024,0,Madrugada
94,2024-08-10,16,Tarde,Saturday,8,2024,0,Tarde
95,2024-11-23,23,Madrugada,Saturday,11,2024,0,Noche
96,2024-10-22,2,Madrugada,Tuesday,10,2024,0,Madrugada
97,2024-01-22,19,Noche,Monday,1,2024,1,Noche
98,2024-08-13,9,Mañana,Tuesday,8,2024,0,Mañana
99,2024-07-14,22,Noche,Sunday,7,2024,0,Noche
100,2024-01-21,8,Mañana,Sunday,1,2024,0,Mañana
101,2024-02-06,7,Mañana,Tuesday,2,2024,0,Mañana
102,2024-11-20,7,Mañana,Wednesday,11,2024,0,Mañana
103,2024-01-17,23,Madrugada,Wednesday,1,2024,0,Noche
104,2024-06-20,2,Madrugada,Thursday,6,2024,0,Madrugada
105,2024-12-05,11,Mañana,Thursday,12,2024,0,Mañana
106,2024-12-27,8,Mañana,Friday,12,2024,0,Mañana
107,2024-11-03,8,Mañana,Sunday,11,2024,0,Mañana
108,2024-07-23,23,Madrugada,Tuesday,7,2024,0,Noche
109,2024-01-07,9,Mañana,Sunday,1,2024,0,Mañana
110,2024-11-01,9,Mañana,Friday,11,2024,0,Mañana
111,2024-10-26,14,Tarde,Saturday,10,2024,1,Tarde
112,2024-01-15,8,Mañana,Monday,1,2024,0,Mañana
113,2024-04-21,2,Madrugada,Sunday,4,2024,0,Madrugada
114,2024-05-22,15,Tarde,Wednesday,5,2024,0,Tarde
115,2024-04-29,0,Madrugada,Monday,4,2024,0,Madrugada
116,2024-05-21,2,Madrugada,Tuesday,5,2024,0,Madrugada
117,2024-01-11,1,Madrugada,Thursday,1,2024,0,Madrugada
118,2024-02-22,17,Tarde,Thursday,2,2024,0,Tarde
119,2024-11-04,5,Madrugada,Monday,11,2024,0,Madrugada
120,2024-12-09,9,Mañana,Monday,12,2024,0,Mañana
121,2024-05-13,19,Noche,Monday,5,2024,1,Noche
122,2024-03-03,21,Noche,Sunday,3,2024,1,Noche
123,2024-09-05,22,Noche,Thursday,9,2024,0,Noche
124,2024-09-06,2,Madrugada,Friday,9,2024,0,Madrugada
125,2024-06-25,3,Madrugada,Tuesday,6,2024,0,Madrugada
126,2024-10-22,9,Mañana,Tuesday,10,2024,0,Mañana
127,2024-10-07,1,Madrugada,Monday,10,2024,0,Madrugada
128,2024-08-14,13,Tarde,Wednesday,8,2024,1,Tarde
129,2024-01-18,13,Tarde,Thursday,1,2024,1,Tarde
130,2024-02-19,23,Madrugada,Monday,2,2024,0,Noche
131,2024-06-26,11,Mañana,Wednesday,6,2024,0,Mañana
132,2024-07-25,17,Tarde,Thursday,7,2024,0,Tarde
133,2024-04-13,2,Madrugada,Saturday,4,2024,0,Madrugada
134,2024-08-10,8,Mañana,Saturday,8,2024,0,Mañana
135,2024-03-21,12,Tarde,Thursday,3,2024,1,Tarde
136,2024-08-24,22,Noche,Saturday,8,2024,0,Noche
137,2024-04-21,18,Noche,Sunday,4,2024,0,Noche
138,2024-12-24,20,Noche,Tuesday,12,2024,1,Noche
139,2024-09-04,18,Noche,Wednesday,9,2024,0,Noche
140,2024-07-04,10,Mañana,Thursday,7,2024,0,Mañana
141,2024-12-28,16,Tarde,Saturday,12,2024,0,Tarde
142,2024-12-26,13,Tarde,Thursday,12,2024,1,Tarde
143,2024-01-06,11,Mañana,Saturday,1,2024,0,Mañana
144,2024-03-12,18,Noche,Tuesday,3,2024,0,Noche
145,2024-01-25,3,Madrugada,Thursday,1,2024,0,Madrugada
146,2024-03-26,18,Noche,Tuesday,3,2024,0,Noche
147,2024-12-05,2,Madrugada,Thursday,12,2024,0,Madrugada
148,2024-05-07,10,Mañana,Tuesday,5,2024,0,Mañana
149,2024-10-07,21,Noche,Monday,10,2024,1,Noche
150,2024-04-21,11,Mañana,Sunday,4,2024,0,Mañana
151,2024-02-21,15,Tarde,Wednesday,2,2024,0,Tarde
152,2024-06-13,17,Tarde,Thursday,6,2024,0,Tarde
153,2024-01-27,3,Madrugada,Saturday,1,2024,0,Madrugada
154,2024-07-14,16,Tarde,Sunday,7,2024,0,Tarde
155,2024-01-24,16,Tarde,Wednesday,1,2024,0,Tarde
156,2024-05-03,18,Noche,Friday,5,2024,0,Noche
157,2024-07-24,19,Noche,Wednesday,7,2024,1,Noche
158,2024-08-22,3,Madrugada,Thursday,8,2024,0,Madrugada
159,2024-12-21,3,Madrugada,Saturday,12,2024,0,Madrugada
160,2024-07-18,3,Madrugada,Thursday,7,2024,0,Madrugada
161,2024-12-29,0,Madrugada,Sunday,12,2024,0,Madrugada
162,2024-10-23,11,Mañana,Wednesday,10,2024,0,Mañana
163,2024-01-14,3,Madrugada,Sunday,1,2024,0,Madrugada
164,2024-01-24,11,Mañana,Wednesday,1,2024,0,Mañana
165,2024-11-11,19,Noche,Monday,11,2024,1,Noche
166,2024-06-06,16,Tarde,Thursday,6,2024,0,Tarde
167,2024-09-04,6,Mañana,Wednesday,9,2024,0,Mañana
168,2024-12-16,0,Madrugada,Monday,12,2024,0,Madrugada
169,2024-12-26,17,Tarde,Thursday,12,2024,0,Tarde
170,2024-07-13,11,Mañana,Saturday,7,2024,0,Mañana
171,2024-05-18,4,Madrugada,Saturday,5,2024,0,Madrugada
172,2024-05-27,13,Tarde,Monday,5,2024,1,Tarde
173,2024-01-11,4,Madrugada,Thursday,1,2024,0,Madrugada
174,2024-07-21,9,Mañana,Sunday,7,2024,0,Mañana
175,2024-08-18,14,Tarde,Sunday,8,2024,1,Tarde
176,2024-02-22,20,Noche,Thursday,2,2024,1,Noche
177,2024-05-21,18,Noche,Tuesday,5,2024,0,Noche
178,2024-11-18,20,Noche,Monday,11,2024,1,Noche
179,2024-06-04,15,Tarde,Tuesday,6,2024,0,Tarde
180,2024-10-25,15,Tarde,Friday,10,2024,0,Tarde
181,2024-03-27,5,Madrugada,Wednesday,3,2024,0,Madrugada
182,2024-07-06,11,Mañana,Saturday,7,2024,0,Mañana
183,2024-05-03,20,Noche,Friday,5,2024,1,Noche
184,2024-03-03,4,Madrugada,Sunday,3,2024,0,Madrugada
185,2024-01-02,17,Tarde,Tuesday,1,2024,0,Tarde
186,2024-09-17,11,Mañana,Tuesday,9,2024,0,Mañana
187,2024-02-02,21,Noche,Friday,2,2024,1,Noche
188,2024-09-26,7,Mañana,Thursday,9,2024,0,Mañana
189,2024-06-07,21,Noche,Friday,6,2024,1,Noche
190,2024-08-07,16,Tarde,Wednesday,8,2024,0,Tarde
191,2024-04-25,14,Tarde,Thursday,4,2024,1,Tarde
192,2024-09-02,17,Tarde,Monday,9,2024,0,Tarde
193,2024-11-29,5,Madrugada,Friday,11,2024,0,Madrugada
194,2024-04-06,23,Madrugada,Saturday,4,2024,0,Noche
195,2024-07-19,5,Madrugada,Friday,7,2024,0,Madrugada
196,2024-11-26,3,Madrugada,Tuesday,11,2024,0,Madrugada
197,2024-01-18,20,Noche,Thursday,1,2024,1,Noche
198,2024-03-02,17,Tarde,Saturday,3,2024,0,Tarde
199,2024-01-01,10,Mañana,Monday,1,2024,0,Mañana
200,2024-07-04,12,Tarde,Thursday,7,2024,1,Tarde
201,2024-08-06,18,Noche,Tuesday,8,2024,0,Noche
202,2024-02-24,9,Mañana,Saturday,2,2024,0,Mañana
203,2024-11-25,6,Mañana,Monday,11,2024,0,Mañana
204,2024-07-13,0,Madrugada,Saturday,7,2024,0,Madrugada
205,2024-08-16,2,Madrugada,Friday,8,2024,0,Madrugada
206,2024-02-02,0,Madrugada,Friday,2,2024,0,Madrugada
207,2024-04-30,10,Mañana,Tuesday,4,2024,0,Mañana
208,2024-02-16,9,Mañana,Friday,2,2024,0,Mañana
209,2024-05-10,2,Madrugada,Friday,5,2024,0,Madrugada
210,2024-03-02,2,Madrugada,Saturday,3,2024,0,Madrugada
211,2024-08-02,17,Tarde,Friday,8,2024,0,Tarde
212,2024-11-08,8,Mañana,Friday,11,2024,0,Mañana
213,2024-04-04,5,Madrugada,Thursday,4,2024,0,Madrugada
214,2024-07-29,7,Mañana,Monday,7,2024,0,Mañana
215,2024-02-25,7,Mañana,Sunday,2,2024,0,Mañana
216,2024-09-04,11,Mañana,Wednesday,9,2024,0,Mañana
217,2024-03-31,17,Tarde,Sunday,3,2024,0,Tarde
218,2024-04-29,17,Tarde,Monday,4,2024,0,Tarde
219,2024-07-18,9,Mañana,Thursday,7,2024,0,Mañana
220,2024-02-17,4,Madrugada,Saturday,2,2024,0,Madrugada
221,2024-03-17,19,Noche,Sunday,3,2024,1,Noche
222,2024-01-12,10,Mañana,Friday,1,2024,0,Mañana
223,2024-07-05,6,Mañana,Friday,7,2024,0,Mañana
224,2024-10-24,19,Noche,Thursday,10,2024,1,Noche
225,2024-05-17,19,Noche,Friday,5,2024,1,Noche
226,2024-03-09,4,Madrugada,Saturday,3,2024,0,Madrugada
227,2024-12-22,19,Noche,Sunday,12,2024,1,Noche
228,2024-05-05,6,Mañana,Sunday,5,2024,0,Mañana
229,2024-09-15,11,Mañana,Sunday,9,2024,0,Mañana
230,2024-08-21,22,Noche,Wednesday,8,2024,0,Noche
231,2024-11-15,2,Madrugada,Friday,11,2024,0,Madrugada
232,2024-05-16,9,Mañana,Thursday,5,2024,0,Mañana
233,2024-06-16,12,Tarde,Sunday,6,2024,1,Tarde
234,2024-04-02,6,Mañana,Tuesday,4,2024,0,Mañana
235,2024-09-04,20,Noche,Wednesday,9,2024,1,Noche
236,2024-05-23,11,Mañana,Thursday,5,2024,0,Mañana
237,2024-03-29,8,Mañana,Friday,3,2024,0,Mañana
238,2024-12-16,14,Tarde,Monday,12,2024,1,Tarde
239,2024-06-13,10,Mañana,Thursday,6,2024,0,Mañana
240,2024-08-04,1,Madrugada,Sunday,8,2024,0,Madrugada
241,2024-10-21,12,Tarde,Monday,10,2024,1,Tarde
242,2024-01-15,13,Tarde,Monday,1,2024,1,Tarde
243,2024-11-13,10,Mañana,Wednesday,11,2024,0,Mañana
244,2024-10-10,0,Madrugada,Thursday,10,2024,0,Madrugada
245,2024-06-05,15,Tarde,Wednesday,6,2024,0,Tarde
246,2024-04-16,9,Mañana,Tuesday,4,2024,0,Mañana
247,2024-11-21,7,Mañana,Thursday,11,2024,0,Mañana
248,2024-04-14,12,Tarde,Sunday,4,2024,1,Tarde
249,2024-06-13,14,Tarde,Thursday,6,2024,1,Tarde
250,2024-09-08,9,Mañana,Sunday,9,2024,0,Mañana
251,2024-07-19,21,Noche,Friday,7,2024,1,Noche
252,2024-06-06,3,Madrugada,Thursday,6,2024,0,Madrugada
253,2024-11-24,7,Mañana,Sunday,11,2024,0,Mañana
254,2024-09-11,3,Madrugada,Wednesday,9,2024,0,Madrugada
255,2024-08-29,0,Madrugada,Thursday,8,2024,0,Madrugada
256,2024-08-09,3,Madrugada,Friday,8,2024,0,Madrugada
257,2024-10-23,21,Noche,Wednesday,10,2024,1,Noche
258,2024-11-15,22,Noche,Friday,11,2024,0,Noche
259,2024-03-05,0,Madrugada,Tuesday,3,2024,0,Madrugada
260,2024-08-30,0,Madrugada,Friday,8,2024,0,Madrugada
261,2024-03-20,19,Noche,Wednesday,3,2024,1,Noche
262,2024-08-24,12,Tarde,Saturday,8,2024,1,Tarde
263,2024-01-02,1,Madrugada,Tuesday,1,2024,0,Madrugada
264,2024-04-12,13,Tarde,Friday,4,2024,1,Tarde
265,2024-11-26,21,Noche,Tuesday,11,2024,1,Noche
266,2024-09-24,22,Noche,Tuesday,9,2024,0,Noche
267,2024-11-07,13,Tarde,Thursday,11,2024,1,Tarde
268,2024-01-25,14,Tarde,Thursday,1,2024,1,Tarde
269,2024-02-06,23,Madrugada,Tuesday,2,2024,0,Noche
270,2024-11-26,20,Noche,Tuesday,11,2024,1,Noche
271,2024-06-21,12,Tarde,Friday,6,2024,1,Tarde
272,2024-12-11,16,Tarde,Wednesday,12,2024,0,Tarde
273,2024-07-02,17,Tarde,Tuesday,7,2024,0,Tarde
274,2024-02-24,13,Tarde,Saturday,2,2024,1,Tarde
275,2024-12-25,20,Noche,Wednesday,12,2024,1,Noche
276,2024-09-25,16,Tarde,Wednesday,9,2024,0,Tarde
277,2024-04-16,6,Mañana,Tuesday,4,2024,0,Mañana
278,2024-03-19,0,Madrugada,Tuesday,3,2024,0,Madrugada
279,2024-10-02,20,Noche,Wednesday,10,2024,1,Noche
280,2024-02-26,10,Mañana,Monday,2,2024,0,Mañana
281,2024-01-13,13,Tarde,Saturday,1,2024,1,Tarde
282,2024-05-30,12,Tarde,Thursday,5,2024,1,Tarde
283,2024-10-20,6,Mañana,Sunday,10,2024,0,Mañana
284,2024-04-18,9,Mañana,Thursday,4,2024,0,Mañana
285,2024-11-23,10,Mañana,Saturday,11,2024,0,Mañana
286,2024-05-15,16,Tarde,Wednesday,5,2024,0,Tarde
287,2024-02-14,13,Tarde,Wednesday,2,2024,1,Tarde
288,2024-11-15,6,Mañana,Friday,11,2024,0,Mañana
289,2024-01-03,20,Noche,Wednesday,1,2024,1,Noche
290,2024-01-10,5,Madrugada,Wednesday,1,2024,0,Madrugada
291,2024-09-01,18,Noche,Sunday,9,2024,0,Noche
292,2024-11-01,14,Tarde,Friday,11,2024,1,Tarde
293,2024-04-25,18,Noche,Thursday,4,2024,0,Noche
294,2024-03-23,5,Madrugada,Saturday,3,2024,0,Madrugada
295,2024-06-28,3,Madrugada,Friday,6,2024,0,Madrugada
296,2024-07-07,16,Tarde,Sunday,7,2024,0,Tarde
297,2024-10-03,14,Tarde,Thursday,10,2024,1,Tarde
298,2024-03-17,6,Mañana,Sunday,3,2024,0,Mañana
299,2024-12-17,23,Madrugada,Tuesday,12,2024,0,Noche
300,2024-02-05,4,Madrugada,Monday,2,2024,0,Madrugada
301,2024-08-07,17,Tarde,Wednesday,8,2024,0,Tarde
302,2024-12-22,11,Mañana,Sunday,12,2024,0,Mañana
303,2024-03-08,12,Tarde,Friday,3,2024,1,Tarde
304,2024-07-13,21,Noche,Saturday,7,2024,1,Noche
305,2024-10-06,17,Tarde,Sunday,10,2024,0,Tarde
306,2024-01-22,17,Tarde,Monday,1,2024,0,Tarde
307,2024-06-23,10,Mañana,Sunday,6,2024,0,Mañana
308,2024-12-24,4,Madrugada,Tuesday,12,2024,0,Madrugada
309,2024-03-09,21,Noche,Saturday,3,2024,1,Noche
310,2024-07-21,17,Tarde,Sunday,7,2024,0,Tarde
311,2024-02-07,22,Noche,Wednesday,2,2024,0,Noche
312,2024-07-20,20,Noche,Saturday,7,2024,1,Noche
313,2024-08-25,15,Tarde,Sunday,8,2024,0,Tarde
314,2024-10-12,17,Tarde,Saturday,10,2024,0,Tarde
315,2024-09-27,17,Tarde,Friday,9,2024,0,Tarde
316,2024-12-27,10,Mañana,Friday,12,2024,0,Mañana
317,2024-04-21,1,Madrugada,Sunday,4,2024,0,Madrugada
318,2024-09-17,1,Madrugada,Tuesday,9,2024,0,Madrugada
319,2024-11-12,17,Tarde,Tuesday,11,2024,0,Tarde
320,2024-12-06,5,Madrugada,Friday,12,2024,0,Madrugada
321,2024-12-14,4,Madrugada,Saturday,12,2024,0,Madrugada
322,2024-04-06,9,Mañana,Saturday,4,2024,0,Mañana
323,2024-07-12,19,Noche,Friday,7,2024,1,Noche
324,2024-10-23,19,Noche,Wednesday,10,2024,1,Noche
325,2024-10-18,8,Mañana,Friday,10,2024,0,Mañana
326,2024-09-24,15,Tarde,Tuesday,9,2024,0,Tarde
327,2024-05-22,2,Madrugada,Wednesday,5,2024,0,Madrugada
328,2024-11-08,6,Mañana,Friday,11,2024,0,Mañana
329,2024-07-26,9,Mañana,Friday,7,2024,0,Mañana
330,2024-05-20,4,Madrugada,Monday,5,2024,0,Madrugada
331,2024-03-08,18,Noche,Friday,3,2024,0,Noche
332,2024-08-10,0,Madrugada,Saturday,8,2024,0,Madrugada
333,2024-10-17,10,Mañana,Thursday,10,2024,0,Mañana
334,2024-01-25,18,Noche,Thursday,1,2024,0,Noche
335,2024-04-06,1,Madrugada,Saturday,4,2024,0,Madrugada
336,2024-02-22,11,Mañana,Thursday,2,2024,0,Mañana
337,2024-03-29,4,Madrugada,Friday,3,2024,0,Madrugada
338,2024-01-04,13,Tarde,Thursday,1,2024,1,Tarde
339,2024-11-17,17,Tarde,Sunday,11,2024,0,Tarde
340,2024-11-27,11,Mañana,Wednesday,11,2024,0,Mañana
341,2024-03-13,5,Madrugada,Wednesday,3,2024,0,Madrugada
342,2024-05-08,6,Mañana,Wednesday,5,2024,0,Mañana
343,2024-10-25,7,Mañana,Friday,10,2024,0,Mañana
344,2024-09-01,8,Mañana,Sunday,9,2024,0,Mañana
345,2024-05-06,0,Madrugada,Monday,5,2024,0,Madrugada
346,2024-07-13,3,Madrugada,Saturday,7,2024,0,Madrugada
347,2024-03-31,8,Mañana,Sunday,3,2024,0,Mañana
348,2024-08-05,2,Madrugada,Monday,8,2024,0,Madrugada
349,2024-07-25,6,Mañana,Thursday,7,2024,0,Mañana
350,2024-10-07,0,Madrugada,Monday,10,2024,0,Madrugada
351,2024-02-07,9,Mañana,Wednesday,2,2024,0,Mañana
352,2024-09-29,8,Mañana,Sunday,9,2024,0,Mañana
353,2024-02-09,7,Mañana,Friday,2,2024,0,Mañana
354,2024-05-19,0,Madrugada,Sunday,5,2024,0,Madrugada
355,2024-11-24,2,Madrugada,Sunday,11,2024,0,Madrugada
356,2024-06-24,16,Tarde,Monday,6,2024,0,Tarde
357,2024-12-22,22,Noche,Sunday,12,2024,0,Noche
358,2024-11-10,23,Madrugada,Sunday,11,2024,0,Noche
359,2024-01-15,12,Tarde,Monday,1,2024,1,Tarde
360,2024-09-03,4,Madrugada,Tuesday,9,2024,0,Madrugada
361,2024-07-15,0,Madrugada,Monday,7,2024,0,Madrugada
362,2024-06-17,17,Tarde,Monday,6,2024,0,Tarde
363,2024-02-04,19,Noche,Sunday,2,2024,1,Noche
364,2024-06-20,1,Madrugada,Thursday,6,2024,0,Madrugada
365,2024-09-26,10,Mañana,Thursday,9,2024,0,Mañana
366,2024-09-26,22,Noche,Thursday,9,2024,0,Noche
367,2024-09-14,11,Mañana,Saturday,9,2024,0,Mañana
368,2024-07-25,10,Mañana,Thursday,7,2024,0,Mañana
369,2024-05-18,0,Madrugada,Saturday,5,2024,0,Madrugada
370,2024-03-28,14,Tarde,Thursday,3,2024,1,Tarde
371,2024-09-11,20,Noche,Wednesday,9,2024,1,Noche
372,2024-10-16,13,Tarde,Wednesday,10,2024,1,Tarde
373,2024-05-19,12,Tarde,Sunday,5,2024,1,Tarde
374,2024-06-09,9,Mañana,Sunday,6,2024,0,Mañana
375,2024-06-15,1,Madrugada,Saturday,6,2024,0,Madrugada
376,2024-06-24,9,Mañana,Monday,6,2024,0,Mañana
377,2024-04-23,1,Madrugada,Tuesday,4,2024,0,Madrugada
378,2024-02-13,22,Noche,Tuesday,2,2024,0,Noche
379,2024-02-05,0,Madrugada,Monday,2,2024,0,Madrugada
380,2024-03-03,2,Madrugada,Sunday,3,2024,0,Madrugada
381,2024-06-11,22,Noche,Tuesday,6,2024,0,Noche
382,2024-08-24,2,Madrugada,Saturday,8,2024,0,Madrugada
383,2024-11-14,12,Tarde,Thursday,11,2024,1,Tarde
384,2024-08-25,7,Mañana,Sunday,8,2024,0,Mañana
385,2024-11-23,12,Tarde,Saturday,11,2024,1,Tarde
386,2024-07-06,20,Noche,Saturday,7,2024,1,Noche
387,2024-05-09,15,Tarde,Thursday,5,2024,0,Tarde
388,2024-09-23,8,Mañana,Monday,9,2024,0,Mañana
389,2024-03-01,8,Mañana,Friday,3,2024,0,Mañana
390,2024-08-03,14,Tarde,Saturday,8,2024,1,Tarde
391,2024-05-31,7,Mañana,Friday,5,2024,0,Mañana
392,2024-11-18,3,Madrugada,Monday,11,2024,0,Madrugada
393,2024-10-11,10,Mañana,Friday,10,2024,0,Mañana
394,2024-10-04,3,Madrugada,Friday,10,2024,0,Madrugada
395,2024-09-05,2,Madrugada,Thursday,9,2024,0,Madrugada
396,2024-07-18,15,Tarde,Thursday,7,2024,0,Tarde
397,2024-01-12,6,Mañana,Friday,1,2024,0,Mañana
398,2024-08-27,8,Mañana,Tuesday,8,2024,0,Mañana
399,2024-06-25,22,Noche,Tuesday,6,2024,0,Noche
400,2024-11-02,7,Mañana,Saturday,11,2024,0,Mañana
401,2024-08-03,23,Madrugada,Saturday,8,2024,0,Noche
402,2024-06-16,10,Mañana,Sunday,6,2024,0,Mañana
403,2024-11-15,5,Madrugada,Friday,11,2024,0,Madrugada
404,2024-03-25,12,Tarde,Monday,3,2024,1,Tarde
405,2024-11-04,11,Mañana,Monday,11,2024,0,Mañana
406,2024-05-23,9,Mañana,Thursday,5,2024,0,Mañana
407,2024-05-28,4,Madrugada,Tuesday,5,2024,0,Madrugada
408,2024-01-05,12,Tarde,Friday,1,2024,1,Tarde
409,2024-06-25,11,Mañana,Tuesday,6,2024,0,Mañana
410,2024-06-08,13,Tarde,Saturday,6,2024,1,Tarde
411,2024-07-19,18,Noche,Friday,7,2024,0,Noche
412,2024-01-21,11,Mañana,Sunday,1,2024,0,Mañana
413,2024-10-09,7,Mañana,Wednesday,10,2024,0,Mañana
414,2024-07-15,8,Mañana,Monday,7,2024,0,Mañana
415,2024-04-11,11,Mañana,Thursday,4,2024,0,Mañana
416,2024-04-02,9,Mañana,Tuesday,4,2024,0,Mañana
417,2024-05-27,11,Mañana,Monday,5,2024,0,Mañana
418,2024-12-22,9,Mañana,Sunday,12,2024,0,Mañana
419,2024-10-12,4,Madrugada,Saturday,10,2024,0,Madrugada
420,2024-02-10,8,Mañana,Saturday,2,2024,0,Mañana
