id_cliente,frecuencia_compra,id_suscripcion,id_metodo_pago_frecuente
224,Diaria,2,4
225,Semanal,1,5
226,Diaria,2,4
227,Mensual,1,3
228,Semanal,1,3
229,Diaria,1,2
230,Mensual,1,1
231,Quincenal,3,1
232,Quincenal,1,1
233,Diaria,1,4
234,Semanal,1,4
235,Mensual,3,1
236,Quincenal,1,1
237,Diaria,1,2
238,Quincenal,1,4
239,Quincenal,1,2
240,Semanal,1,1
241,Mensual,2,4
242,Diaria,1,2
243,Quincenal,1,5
244,Diaria,1,2
245,Quincenal,1,4
246,Diaria,2,1
247,Semanal,3,1
248,Semanal,3,1
249,Semanal,1,3
250,Diaria,2,4
251,Diaria,2,5
252,Mensual,1,5
253,Mensual,1,4
254,Mensual,1,5
255,Semanal,1,4
256,Diaria,1,3
257,Mensual,2,4
258,Mensual,1,4
259,Mensual,2,1
260,Quincenal,1,3
261,Diaria,2,5
262,Quincenal,2,2
263,Mensual,1,2
264,Diaria,1,4
265,Mensual,3,5
266,Quincenal,3,5
267,Quincenal,2,2
268,Diaria,1,5
269,Quincenal,1,3
270,Diaria,1,4
271,Semanal,2,2
272,Semanal,1,1
273,Mensual,1,4
274,Mensual,1,2
275,Mensual,3,1
276,Semanal,1,3
277,Mensual,1,1
278,Quincenal,1,1
279,Diaria,2,3
280,Mensual,2,3
281,Semanal,2,4
282,Semanal,3,4
283,Semanal,3,3
284,Mensual,2,2
285,Semanal,2,1
286,Diaria,1,3
287,Quincenal,1,4
288,Semanal,3,4
289,Diaria,2,5
290,Quincenal,1,3
291,Semanal,1,2
292,Mensual,1,2
293,Semanal,1,5
294,Semanal,1,4
295,Diaria,1,4
296,Quincenal,1,1
297,Semanal,1,3
298,Quincenal,1,4
299,Diaria,1,3
300,Semanal,1,1
301,Diaria,1,3
302,Mensual,1,4
303,Semanal,1,1
304,Quincenal,2,1
305,Semanal,2,4
306,Diaria,2,3
307,Quincenal,1,1
308,Quincenal,1,3
309,Quincenal,3,4
310,Mensual,2,2
311,Quincenal,1,2
312,Semanal,1,1
313,Mensual,3,4
314,Diaria,2,1
315,Semanal,1,5
316,Mensual,1,4
317,Mensual,2,2
318,Quincenal,3,1
319,Quincenal,3,4
320,Diaria,1,3
321,Semanal,3,2
322,Quincenal,1,3
323,Quincenal,1,4
324,Quincenal,2,1
325,Quincenal,1,1
326,Diaria,1,2
327,Quincenal,1,4
328,Mensual,1,5
329,Quincenal,1,3
330,Quincenal,1,2
331,Quincenal,3,5
332,Mensual,3,4
333,Diaria,2,4
334,Diaria,1,2
335,Semanal,1,1
336,Quincenal,1,3
337,Quincenal,2,3
338,Quincenal,2,5
339,Mensual,2,3
340,Diaria,1,5
341,Quincenal,1,4
342,Quincenal,2,4
343,Mensual,2,3
344,Quincenal,1,4
345,Mensual,1,5
346,Mensual,2,4
347,Diaria,3,5
348,Semanal,1,1
349,Semanal,2,1
350,Quincenal,1,3
351,Mensual,2,5
352,Semanal,1,1
353,Semanal,3,1
354,Diaria,1,4
355,Semanal,1,1
356,Mensual,2,5
357,Semanal,2,1
358,Mensual,2,1
359,Semanal,1,1
360,Diaria,1,3
361,Quincenal,1,5
362,Mensual,2,1
363,Semanal,2,1
364,Semanal,1,2
365,Semanal,2,4
366,Diaria,2,1
367,Mensual,1,3
368,Diaria,1,4
369,Mensual,2,4
370,Mensual,2,3
371,Diaria,2,4
372,Quincenal,1,1
373,Semanal,2,4
374,Diaria,1,4
375,Quincenal,2,5
376,Mensual,2,2
377,Mensual,3,2
378,Semanal,2,1
379,Diaria,1,4
380,Semanal,1,1
381,Quincenal,3,4
382,Semanal,1,4
383,Diaria,1,2
384,Mensual,2,4
385,Semanal,1,1
386,Mensual,1,4
387,Semanal,2,1
388,Semanal,3,1
389,Quincenal,1,2
390,Semanal,3,5
391,Diaria,1,2
392,Diaria,1,4
393,Semanal,1,2
394,Mensual,1,1
395,Mensual,2,1
396,Quincenal,2,5
397,Mensual,1,1
398,Mensual,3,1
399,Semanal,2,5
400,Mensual,1,4
401,Mensual,3,4
402,Semanal,1,1
403,Semanal,2,2
404,Semanal,1,2
405,Mensual,1,3
406,Semanal,2,4
407,Mensual,2,3
408,Diaria,1,2
409,Quincenal,1,4
410,Diaria,3,1
411,Mensual,1,4
412,Diaria,1,3
413,Semanal,1,4
414,Semanal,2,5
415,Mensual,2,2
416,Mensual,1,1
417,Diaria,2,5
418,Semanal,3,2
419,Semanal,1,4
420,Quincenal,1,1
421,Diaria,1,4
422,Semanal,3,4
423,Quincenal,2,4
424,Semanal,2,2
425,Quincenal,1,4
426,Quincenal,2,2
427,Mensual,3,2
428,Quincenal,1,1
429,Diaria,1,4
430,Semanal,1,4
431,Mensual,1,2
432,Mensual,2,3
433,Mensual,2,2
434,Semanal,1,3
435,Quincenal,1,1
436,Diaria,1,3
437,Diaria,1,4
438,Mensual,2,1
439,Quincenal,1,1
440,Quincenal,1,2
441,Semanal,1,2
442,Mensual,1,1
443,Semanal,1,3
444,Diaria,1,4
445,Diaria,3,3
446,Quincenal,1,2
447,Mensual,1,4
448,Quincenal,1,3
449,Semanal,1,3
450,Semanal,1,4
451,Quincenal,1,3
452,Mensual,2,2
453,Diaria,1,2
454,Diaria,1,3
455,Semanal,1,1
456,Semanal,3,2
457,Quincenal,1,5
458,Quincenal,1,1
459,Quincenal,1,3
460,Mensual,1,1
461,Semanal,1,3
462,Diaria,2,5
463,Quincenal,3,5
464,Quincenal,1,1
465,Semanal,1,4
466,Quincenal,2,1
467,Diaria,2,2
468,Quincenal,1,1
469,Quincenal,2,4
470,Quincenal,1,5
471,Diaria,3,4
472,Quincenal,1,3
473,Quincenal,2,4
474,Diaria,2,4
475,Semanal,2,5
476,Semanal,3,3
477,Diaria,2,2
478,Diaria,1,5
479,Quincenal,1,2
480,Semanal,2,1
481,Diaria,2,2
482,Mensual,2,3
483,Semanal,2,5
484,Mensual,1,4
485,Diaria,3,4
486,Mensual,1,2
487,Mensual,1,3
488,Quincenal,1,1
489,Diaria,1,2
490,Mensual,1,2
491,Diaria,1,3
492,Diaria,1,3
493,Semanal,1,1
494,Semanal,1,4
495,Quincenal,3,4
496,Diaria,3,2
497,Semanal,2,2
498,Mensual,1,4
499,Diaria,1,3
500,Semanal,2,4
501,Quincenal,1,1
502,Mensual,1,2
503,Diaria,1,4
504,Mensual,3,2
505,Quincenal,2,3
506,Diaria,2,4
507,Semanal,2,3
508,Mensual,1,3
509,Quincenal,1,2
510,Semanal,1,3
511,Diaria,1,3
512,Mensual,2,5
513,Mensual,1,2
514,Diaria,2,2
515,Mensual,1,3
516,Quincenal,1,4
517,Quincenal,1,3
518,Quincenal,1,4
519,Semanal,1,3
520,Mensual,1,3
521,Semanal,1,4
522,Mensual,2,4
523,Mensual,1,4
524,Semanal,2,4
525,Semanal,1,2
526,Semanal,2,1
527,Semanal,1,4
528,Quincenal,2,3
529,Quincenal,1,2
530,Quincenal,1,1
531,Mensual,1,4
532,Mensual,1,2
533,Diaria,1,4
534,Diaria,1,2
535,Diaria,1,4
536,Semanal,1,4
537,Mensual,3,3
538,Semanal,2,3
539,Quincenal,1,4
540,Semanal,1,1
541,Diaria,2,4
542,Diaria,2,2
543,Semanal,1,1
544,Quincenal,1,4
545,Mensual,1,3
546,Mensual,2,4
547,Mensual,1,3
548,Mensual,1,1
549,Quincenal,1,4
550,Quincenal,1,2
551,Mensual,1,4
552,Mensual,1,3
553,Mensual,2,3
554,Diaria,1,4
555,Quincenal,2,5
556,Semanal,3,1
557,Diaria,3,5
558,Diaria,3,3
559,Mensual,1,1
560,Semanal,1,3
561,Semanal,1,4
562,Diaria,2,5
563,Quincenal,2,3
564,Semanal,1,4
565,Quincenal,1,4
566,Diaria,1,4
567,Quincenal,1,2
568,Diaria,1,4
569,Mensual,1,1
570,Quincenal,2,3
571,Semanal,1,3
572,Quincenal,2,1
573,Mensual,1,5
574,Mensual,1,2
575,Mensual,1,1
576,Semanal,3,5
577,Quincenal,2,1
578,Semanal,1,4
579,Diaria,1,5
580,Semanal,1,4
581,Semanal,1,1
582,Quincenal,2,1
583,Diaria,2,4
584,Mensual,1,1
585,Quincenal,2,1
586,Semanal,1,1
587,Diaria,2,5
588,Semanal,2,4
589,Semanal,1,5
590,Quincenal,1,1
591,Diaria,1,3
592,Quincenal,2,3
593,Semanal,1,2
594,Diaria,2,5
595,Diaria,1,3
596,Semanal,1,3
597,Mensual,2,1
598,Diaria,1,5
599,Quincenal,2,3
600,Mensual,2,3
601,Diaria,3,5
602,Quincenal,2,4
603,Quincenal,1,5
604,Semanal,1,1
605,Semanal,1,3
606,Mensual,1,5
607,Semanal,2,3
608,Mensual,1,4
609,Semanal,1,1
610,Semanal,2,3
611,Semanal,2,2
612,Diaria,1,1
613,Diaria,1,2
614,Semanal,3,3
615,Quincenal,1,5
616,Semanal,1,1
617,Quincenal,1,1
618,Semanal,1,2
619,Semanal,1,1
620,Diaria,1,2
621,Quincenal,1,2
622,Mensual,2,4
623,Mensual,3,2
624,Semanal,1,3
625,Quincenal,2,3
626,Quincenal,1,1
627,Mensual,1,3
628,Semanal,1,3
629,Diaria,1,1
630,Diaria,1,5
631,Diaria,1,1
632,Diaria,1,1
633,Mensual,2,1
634,Semanal,1,4
635,Mensual,1,1
636,Diaria,1,1
637,Diaria,1,1
638,Mensual,1,5
639,Mensual,1,2
640,Mensual,2,1
641,Semanal,2,1
642,Diaria,1,5
643,Semanal,2,4
644,Semanal,2,3
645,Mensual,2,1
646,Mensual,1,5
647,Mensual,3,1
648,Diaria,1,4
649,Mensual,2,4
650,Quincenal,3,4
651,Quincenal,2,5
652,Mensual,1,4
653,Quincenal,1,3
654,Quincenal,2,2
655,Semanal,2,2
656,Mensual,1,3
657,Quincenal,1,2
658,Quincenal,3,1
659,Semanal,1,2
660,Quincenal,1,5
661,Mensual,2,4
662,Mensual,1,2
663,Quincenal,2,2
664,Quincenal,1,1
665,Semanal,1,3
666,Diaria,1,3
667,Quincenal,2,2
668,Quincenal,1,3
669,Diaria,2,5
670,Diaria,2,4
671,Mensual,1,2
672,Semanal,3,2
673,Semanal,1,3
674,Mensual,1,4
675,Quincenal,2,3
676,Quincenal,1,4
677,Diaria,2,2
678,Diaria,2,1
679,Mensual,1,2
680,Semanal,1,3
681,Diaria,2,1
682,Quincenal,1,2
683,Mensual,3,1
684,Diaria,1,1
685,Quincenal,2,1
686,Diaria,1,2
687,Semanal,2,2
688,Quincenal,2,2
689,Mensual,1,3
690,Semanal,2,2
691,Mensual,1,1
692,Semanal,3,2
693,Mensual,2,3
694,Mensual,1,1
695,Quincenal,1,2
696,Mensual,2,4
697,Mensual,1,2
698,Semanal,1,2
699,Diaria,1,5
700,Quincenal,1,2
701,Mensual,1,4
702,Semanal,2,3
703,Quincenal,1,2
704,Diaria,2,4
705,Semanal,1,3
706,Semanal,1,4
707,Semanal,1,3
708,Semanal,1,1
709,Diaria,1,3
710,Mensual,1,4
711,Quincenal,1,3
712,Quincenal,1,1
713,Semanal,2,4
714,Mensual,2,4
715,Diaria,2,2
716,Quincenal,1,1
717,Diaria,1,2
718,Quincenal,2,5
719,Quincenal,1,5
720,Diaria,1,5
721,Semanal,1,5
722,Diaria,3,2
723,Semanal,3,1
724,Mensual,1,4
725,Semanal,3,2
726,Diaria,2,5
727,Diaria,2,1
728,Semanal,1,3
729,Diaria,2,5
730,Diaria,2,4
731,Quincenal,3,1
732,Mensual,3,5
733,Semanal,3,1
734,Semanal,2,3
735,Quincenal,2,1
736,Semanal,1,2
737,Diaria,1,2
738,Mensual,1,1
739,Quincenal,3,3
740,Diaria,1,5
741,Quincenal,1,1
742,Diaria,1,4
743,Diaria,1,4
744,Mensual,1,1
745,Mensual,1,3
746,Diaria,1,1
747,Quincenal,2,3
748,Mensual,3,1
749,Diaria,1,1
750,Diaria,1,5
751,Semanal,2,4
752,Diaria,3,1
753,Quincenal,3,5
754,Diaria,2,2
755,Mensual,2,1
756,Quincenal,1,2
757,Mensual,1,1
758,Semanal,1,1
759,Mensual,3,4
760,Semanal,1,4
761,Semanal,1,2
762,Semanal,1,4
763,Semanal,1,4
764,Diaria,1,3
765,Semanal,1,1
766,Semanal,1,4
767,Mensual,2,2
768,Semanal,1,5
769,Semanal,2,5
770,Semanal,1,1
771,Semanal,2,2
772,Diaria,1,1
773,Quincenal,1,2
774,Diaria,2,5
775,Diaria,1,5
776,Semanal,1,1
777,Semanal,1,5
778,Diaria,1,5
779,Quincenal,1,4
780,Quincenal,2,4
781,Semanal,2,4
782,Quincenal,2,2
783,Quincenal,1,2
784,Diaria,1,1
785,Semanal,1,4
786,Mensual,3,2
787,Semanal,1,4
788,Quincenal,1,2
789,Mensual,2,1
790,Quincenal,2,2
791,Diaria,1,3
792,Quincenal,1,1
793,Semanal,1,5
794,Semanal,2,1
795,Quincenal,1,1
796,Quincenal,2,4
797,Mensual,1,1
798,Mensual,2,4
799,Semanal,2,3
800,Quincenal,1,1
801,Diaria,1,4
802,Semanal,1,2
803,Diaria,2,1
804,Mensual,1,2
805,Semanal,2,4
806,Mensual,1,5
807,Semanal,2,3
808,Semanal,1,5
809,Mensual,1,3
810,Semanal,1,4
811,Diaria,1,4
812,Semanal,1,4
813,Mensual,1,2
814,Diaria,2,1
815,Semanal,1,1
816,Diaria,1,2
817,Quincenal,1,4
818,Semanal,1,4
819,Quincenal,1,4
820,Mensual,1,3
821,Diaria,2,3
822,Semanal,1,2
823,Diaria,1,5
824,Semanal,1,1
825,Quincenal,2,3
826,Quincenal,1,3
827,Diaria,1,1
828,Diaria,1,5
829,Diaria,1,2
830,Diaria,2,4
831,Quincenal,1,2
832,Semanal,3,5
833,Quincenal,2,4
834,Quincenal,2,1
835,Mensual,2,2
836,Mensual,1,1
837,Quincenal,2,4
838,Semanal,1,4
839,Mensual,1,4
840,Mensual,2,3
841,Quincenal,3,1
842,Semanal,1,5
843,Mensual,3,1
844,Mensual,2,4
845,Semanal,1,2
846,Diaria,3,5
847,Diaria,2,3
848,Mensual,2,5
849,Diaria,1,2
850,Diaria,1,1
851,Mensual,1,5
852,Diaria,1,4
853,Diaria,2,4
854,Mensual,1,4
855,Semanal,1,3
856,Diaria,2,5
857,Quincenal,2,1
858,Semanal,1,1
859,Quincenal,1,1
860,Quincenal,1,3
861,Mensual,2,1
862,Diaria,2,4
863,Mensual,2,1
864,Diaria,1,4
865,Diaria,1,4
866,Quincenal,1,4
867,Semanal,2,1
868,Diaria,1,2
869,Mensual,2,3
870,Semanal,1,1
871,Diaria,1,1
872,Quincenal,3,5
873,Diaria,1,1
874,Diaria,1,1
875,Mensual,2,3
876,Quincenal,1,4
877,Semanal,1,3
878,Quincenal,1,1
879,Diaria,2,3
880,Quincenal,1,3
881,Diaria,2,4
882,Quincenal,3,2
883,Diaria,2,1
884,Semanal,1,4
885,Diaria,1,3
886,Quincenal,1,4
887,Semanal,1,4
888,Diaria,1,4
889,Quincenal,1,4
890,Mensual,2,1
891,Semanal,1,4
892,Semanal,2,3
893,Quincenal,3,1
894,Mensual,1,1
895,Semanal,1,1
896,Semanal,1,4
897,Diaria,3,1
898,Diaria,1,3
899,Quincenal,3,4
900,Diaria,1,3
901,Diaria,2,4
902,Semanal,1,3
903,Quincenal,2,3
904,Diaria,1,1
905,Diaria,1,2
906,Quincenal,2,4
907,Semanal,2,5
908,Quincenal,2,2
909,Mensual,3,5
910,Semanal,1,2
911,Semanal,1,3
912,Diaria,2,4
913,Diaria,2,1
914,Diaria,3,4
915,Diaria,1,2
916,Semanal,2,3
917,Semanal,1,4
918,Quincenal,1,4
919,Diaria,2,5
920,Semanal,2,1
921,Diaria,1,4
922,Diaria,1,4
923,Diaria,3,1
924,Quincenal,1,1
925,Mensual,1,1
926,Quincenal,3,1
927,Semanal,2,1
928,Quincenal,1,3
929,Semanal,1,5
930,Semanal,1,5
931,Quincenal,1,4
932,Diaria,1,1
933,Quincenal,2,2
934,Semanal,2,2
935,Semanal,2,3
936,Quincenal,1,1
937,Mensual,2,2
938,Diaria,1,5
939,Diaria,1,1
940,Diaria,1,5
941,Semanal,1,1
942,Quincenal,1,4
943,Quincenal,1,1
944,Diaria,1,1
945,Diaria,3,5
946,Semanal,1,1
947,Quincenal,3,1
948,Semanal,1,4
949,Semanal,2,4
950,Diaria,2,3
951,Diaria,1,4
952,Quincenal,1,3
953,Quincenal,1,4
954,Semanal,1,4
955,Quincenal,2,4
956,Quincenal,1,1
957,Quincenal,1,1
958,Quincenal,3,4
959,Diaria,1,1
960,Semanal,1,2
961,Quincenal,2,5
962,Quincenal,1,5
963,Mensual,2,5
964,Mensual,1,1
965,Semanal,1,1
966,Mensual,3,5
967,Diaria,1,2
968,Diaria,2,4
969,Mensual,1,1
970,Diaria,1,4
971,Mensual,3,2
972,Diaria,1,3
973,Semanal,1,3
974,Semanal,1,4
975,Diaria,1,5
976,Diaria,1,1
977,Mensual,1,3
978,Quincenal,1,2
979,Mensual,2,1
980,Quincenal,2,3
981,Quincenal,1,4
982,Diaria,1,3
983,Mensual,2,2
984,Mensual,1,4
985,Diaria,2,1
986,Mensual,1,1
987,Quincenal,1,4
988,Diaria,1,2
989,Diaria,3,3
990,Semanal,1,4
991,Semanal,2,1
992,Semanal,1,4
993,Mensual,2,5
994,Mensual,1,2
995,Diaria,1,1
996,Quincenal,1,2
997,Semanal,1,5
998,Diaria,1,3
999,Diaria,1,3
1000,Quincenal,1,5
1001,Diaria,2,4
1002,Semanal,3,4
1003,Mensual,1,4
1004,Semanal,1,1
1005,Mensual,1,2
1006,Quincenal,1,1
1007,Semanal,1,4
1008,Diaria,1,2
1009,Diaria,1,5
1010,Quincenal,1,4
1011,Semanal,2,4
1012,Quincenal,1,4
1013,Mensual,1,2
1014,Semanal,2,5
1015,Mensual,2,3
1016,Semanal,1,4
1017,Semanal,1,4
1018,Diaria,1,1
1019,Semanal,1,1
1020,Diaria,1,2
1021,Mensual,1,1
1022,Quincenal,1,2
1023,Quincenal,1,4
1024,Diaria,1,3
1025,Quincenal,2,5
1026,Quincenal,1,3
1027,Diaria,1,4
1028,Diaria,3,1
1029,Mensual,1,2
1030,Quincenal,1,2
1031,Diaria,1,4
1032,Semanal,1,5
1033,Semanal,1,3
1034,Semanal,1,4
1035,Diaria,1,4
1036,Mensual,3,2
1037,Quincenal,1,1
1038,Quincenal,2,4
1039,Diaria,1,1
1040,Quincenal,1,2
1041,Semanal,1,2
1042,Semanal,1,2
1043,Semanal,2,3
1044,Quincenal,1,2
1045,Diaria,3,1
1046,Mensual,3,4
1047,Quincenal,2,3
1048,Diaria,2,3
1049,Mensual,1,1
1050,Diaria,2,4
1051,Diaria,1,4
1052,Mensual,1,4
1053,Mensual,1,4
1054,Diaria,1,2
1055,Quincenal,1,2
1056,Semanal,1,4
1057,Semanal,2,3
1058,Diaria,3,2
1059,Mensual,1,1
1060,Diaria,1,5
1061,Quincenal,3,4
1062,Quincenal,2,3
1063,Quincenal,2,3
1064,Quincenal,2,1
1065,Mensual,1,4
1066,Semanal,1,3
1067,Diaria,2,1
1068,Quincenal,1,1
1069,Semanal,1,1
1070,Diaria,2,1
1071,Quincenal,1,2
1072,Mensual,1,2
1073,Mensual,2,2
1074,Semanal,1,5
1075,Diaria,1,1
1076,Quincenal,2,5
1077,Quincenal,2,3
1078,Mensual,2,5
1079,Quincenal,2,1
1080,Semanal,1,2
1081,Semanal,3,4
1082,Diaria,1,4
1083,Diaria,1,5
1084,Semanal,1,4
1085,Semanal,3,3
1086,Diaria,2,3
1087,Diaria,2,2
1088,Diaria,1,3
1089,Mensual,2,2
1090,Semanal,1,3
1091,Mensual,2,3
1092,Mensual,1,4
1093,Quincenal,1,2
1094,Diaria,1,2
1095,Semanal,2,1
1096,Diaria,1,4
1097,Semanal,1,1
1098,Diaria,2,1
1099,Mensual,1,4
1100,Mensual,3,3
1101,Diaria,1,1
1102,Semanal,1,3
1103,Mensual,1,3
1104,Semanal,2,4
1105,Diaria,2,4
1106,Semanal,2,2
1107,Quincenal,1,4
1108,Semanal,1,4
1109,Diaria,3,3
1110,Diaria,2,1
1111,Semanal,1,3
1112,Semanal,2,3
1113,Semanal,2,4
1114,Mensual,2,5
1115,Mensual,2,1
1116,Quincenal,2,1
1117,Mensual,1,2
1118,Semanal,1,3
1119,Semanal,2,3
1120,Semanal,2,3
1121,Semanal,1,1
1122,Semanal,1,2
1123,Diaria,2,4
1124,Quincenal,1,5
1125,Semanal,2,2
1126,Mensual,2,1
1127,Quincenal,1,1
1128,Quincenal,1,4
1129,Quincenal,3,5
1130,Mensual,1,1
1131,Diaria,1,2
1132,Semanal,1,2
1133,Mensual,3,4
1134,Mensual,1,4
1135,Quincenal,2,4
1136,Mensual,1,1
1137,Quincenal,2,3
1138,Quincenal,1,3
1139,Semanal,2,5
1140,Semanal,2,2
1141,Quincenal,2,2
1142,Quincenal,1,2
1143,Mensual,1,3
1144,Semanal,2,4
1145,Quincenal,1,4
1146,Quincenal,1,1
1147,Semanal,2,4
1148,Quincenal,2,1
1149,Quincenal,1,4
1150,Diaria,2,2
1151,Quincenal,1,1
1152,Mensual,2,3
1153,Mensual,1,4
1154,Quincenal,2,4
1155,Diaria,2,3
1156,Diaria,1,4
1157,Quincenal,1,4
1158,Quincenal,1,1
1159,Mensual,2,4
1160,Diaria,1,1
1161,Diaria,1,2
1162,Mensual,2,3
1163,Quincenal,1,3
1164,Semanal,1,2
1165,Mensual,3,2
1166,Quincenal,2,5
1167,Diaria,1,2
1168,Diaria,2,2
1169,Diaria,3,3
1170,Semanal,2,4
1171,Diaria,1,1
1172,Semanal,1,2
1173,Diaria,3,1
1174,Semanal,1,1
1175,Diaria,2,2
1176,Quincenal,1,5
1177,Diaria,1,2
1178,Mensual,2,2
1179,Quincenal,1,2
1180,Quincenal,1,4
1181,Mensual,1,2
1182,Diaria,1,3
1183,Mensual,1,4
1184,Mensual,1,3
1185,Mensual,1,3
1186,Mensual,2,4
1187,Diaria,2,1
1188,Quincenal,3,5
1189,Diaria,3,3
1190,Mensual,1,4
1191,Mensual,1,1
1192,Diaria,1,4
1193,Quincenal,2,1
1194,Diaria,1,4
1195,Mensual,1,1
1196,Semanal,1,3
1197,Semanal,1,1
1198,Quincenal,2,4
1199,Quincenal,1,1
1200,Mensual,1,3
1201,Semanal,1,1
1202,Quincenal,1,1
1203,Semanal,3,4
1204,Quincenal,1,3
1205,Mensual,1,1
1206,Quincenal,1,2
1207,Mensual,1,5
1208,Diaria,1,2
1209,Semanal,1,2
1210,Diaria,3,1
1211,Quincenal,1,1
1212,Semanal,1,4
1213,Mensual,1,1
1214,Quincenal,2,3
1215,Diaria,3,2
1216,Semanal,2,4
1217,Quincenal,1,2
1218,Semanal,3,4
