tiempo_total_min,minutos_retraso,dist_asignacion_km,dist_entrega_km,tiempo_espera_rest_min,cumple_sla,franja_horaria,es_hora_pico,valor_pedido_soles
11.6,0.0,1.353,0.853,10.5,1,tarde,0,88.03
17.7,0.0,0.263,3.219,13.7,1,noche,0,81.77
11.0,0.0,0.591,2.607,5.7,1,noche,0,66.61
6.4,0.0,0.299,0.704,3.9,1,noche,0,18.5
27.8,0.0,2.867,3.172,7.6,1,noche,1,85.73
32.2,2.2,3.556,2.432,8.1,0,tarde,1,47.94
17.7,0.0,1.132,0.607,13.7,1,tarde,1,31.12
27.9,0.0,2.802,1.479,12.7,1,noche,1,46.88
32.2,2.2,2.155,1.583,17.5,0,noche,1,92.89
20.8,0.0,1.446,2.16,10.1,1,mañana,0,92.0
13.5,0.0,1.307,1.597,10.6,1,mañana,0,76.83
23.9,0.0,0.961,2.394,16.9,1,tarde,0,56.59
10.1,0.0,0.865,0.558,10.8,1,tarde,0,49.11
13.7,0.0,1.38,1.247,11.1,1,mañana,0,39.74
25.8,0.0,1.041,2.662,16.9,1,mañana,0,65.32
20.5,0.0,1.542,1.756,12.4,1,mañana,0,16.88
12.2,0.0,0.215,1.611,6.6,1,mañana,0,28.42
8.9,0.0,0.921,1.016,6.9,1,noche,0,39.31
9.5,0.0,1.317,2.226,0.8,1,noche,0,27.61
18.5,0.0,0.4,1.44,13.8,1,tarde,1,64.54
28.2,0.0,3.035,1.944,9.9,1,tarde,1,61.04
16.8,0.0,1.704,2.484,6.4,1,mañana,0,45.72
17.0,0.0,1.586,2.364,5.5,1,noche,0,52.16
9.7,0.0,1.273,2.1,4.3,1,noche,0,71.23
19.3,0.0,1.031,2.488,14.6,1,mañana,0,81.45
20.0,0.0,2.033,1.724,13.1,1,mañana,0,46.55
24.4,0.0,1.51,2.022,12.5,1,noche,1,72.08
15.5,0.0,1.626,1.799,9.8,1,noche,0,81.63
11.5,0.0,1.528,1.897,5.7,1,noche,0,92.71
14.9,0.0,1.496,1.447,13.0,1,tarde,0,74.8
26.5,0.0,1.367,0.997,13.7,1,tarde,1,87.55
20.7,0.0,0.728,0.842,13.8,1,tarde,1,71.92
23.3,0.0,2.523,1.564,10.6,1,tarde,1,53.47
21.3,0.0,2.279,0.972,11.9,1,tarde,1,47.43
21.5,0.0,2.201,2.329,5.9,1,tarde,1,37.26
24.9,0.0,1.515,2.636,16.1,1,tarde,0,82.14
13.8,0.0,1.501,2.172,6.8,1,tarde,0,74.81
17.8,0.0,0.843,1.038,14.5,1,tarde,0,25.49
11.6,0.0,0.552,1.846,9.7,1,tarde,0,71.25
12.4,0.0,0.543,1.718,9.0,1,noche,0,74.83
20.8,0.0,2.034,2.195,7.9,1,noche,0,61.24
13.8,0.0,0.315,2.435,9.8,1,noche,0,63.97
16.5,0.0,1.529,2.414,5.9,1,noche,0,23.15
35.8,5.8,1.822,2.304,20.3,0,noche,1,82.97
19.5,0.0,2.424,1.185,7.1,1,noche,1,73.97
27.8,0.0,2.908,1.863,16.3,1,noche,1,68.1
15.5,0.0,0.651,2.564,11.3,1,tarde,0,73.48
15.0,0.0,1.927,1.753,6.7,1,tarde,0,40.15
13.8,0.0,1.134,2.327,5.6,1,tarde,0,79.37
16.7,0.0,0.772,1.72,8.7,1,tarde,0,52.83
29.3,0.0,1.36,1.3,20.1,1,tarde,1,29.55
27.8,0.0,3.108,2.511,10.5,1,tarde,1,60.23
16.6,0.0,1.287,2.649,9.2,1,noche,0,70.25
17.6,0.0,0.553,2.055,10.2,1,noche,0,52.94
19.3,0.0,0.692,2.491,12.3,1,noche,0,83.55
6.6,0.0,1.472,1.351,2.1,1,noche,0,49.04
18.0,0.0,1.225,2.416,11.3,1,noche,0,88.68
18.6,0.0,1.004,2.425,11.7,1,tarde,0,53.74
9.4,0.0,0.796,1.8,7.7,1,tarde,0,45.12
25.6,0.0,0.727,2.906,15.9,1,tarde,0,46.67
13.4,0.0,1.744,1.227,4.5,1,noche,0,18.64
5.0,0.0,0.626,0.154,3.1,1,noche,0,45.24
28.0,0.0,1.702,3.11,11.7,1,noche,1,53.22
24.7,0.0,0.475,2.695,12.1,1,noche,1,55.58
31.7,1.7,0.992,2.386,23.6,0,noche,1,35.55
36.4,6.4,2.429,1.083,22.8,0,noche,1,61.06
18.5,0.0,1.369,1.784,6.1,1,noche,0,76.16
11.1,0.0,0.961,0.905,5.7,1,noche,0,72.39
15.0,0.0,1.254,1.104,5.6,1,tarde,0,76.02
10.0,0.0,1.16,2.15,5.5,1,tarde,0,35.59
14.9,0.0,0.762,2.066,8.7,1,tarde,0,17.93
17.9,0.0,1.204,2.089,8.5,1,tarde,0,40.08
11.1,0.0,0.428,2.446,4.8,1,tarde,0,34.49
17.7,0.0,1.408,3.235,7.6,1,mañana,0,33.52
12.4,0.0,1.529,1.008,10.1,1,tarde,0,81.13
22.8,0.0,0.555,2.318,14.3,1,tarde,0,23.12
7.1,0.0,0.737,1.017,6.9,1,tarde,0,71.38
16.9,0.0,1.498,1.631,12.9,1,tarde,0,90.72
24.1,0.0,1.99,2.131,13.2,1,noche,1,55.04
32.5,2.5,2.382,2.475,18.1,0,noche,1,77.75
20.4,0.0,1.358,2.381,11.3,1,mañana,0,76.18
12.1,0.0,1.004,2.103,8.7,1,mañana,0,54.84
9.3,0.0,0.454,2.604,4.7,1,mañana,0,22.3
15.5,0.0,1.186,1.421,12.4,1,tarde,0,40.86
24.1,0.0,0.589,2.208,16.0,1,tarde,0,89.84
12.6,0.0,0.49,1.591,5.8,1,mañana,0,75.8
6.8,0.0,1.223,1.97,4.4,1,mañana,0,53.5
32.9,2.9,1.224,2.995,18.9,0,noche,1,32.98
22.1,0.0,2.79,0.809,9.1,1,noche,1,75.3
29.1,0.0,1.448,0.38,21.4,1,noche,1,89.06
22.7,0.0,1.209,1.224,17.3,1,noche,1,16.67
29.0,0.0,1.274,1.111,21.2,1,tarde,1,45.69
29.6,0.0,2.538,2.477,9.6,1,tarde,1,74.84
26.6,0.0,3.17,2.439,9.4,1,tarde,1,91.13
31.9,1.9,2.867,2.581,11.2,0,tarde,1,24.32
29.8,0.0,2.172,2.17,15.9,1,tarde,1,67.8
26.2,0.0,2.434,2.664,11.0,1,tarde,1,80.83
25.4,0.0,0.758,3.092,12.6,1,tarde,1,56.71
9.1,0.0,0.922,2.208,7.0,1,noche,0,45.64
11.9,0.0,0.767,2.956,7.2,1,noche,0,90.58
21.7,0.0,0.972,1.853,14.7,1,noche,0,59.55
33.3,3.3,2.208,0.984,20.4,0,tarde,1,84.58
23.8,0.0,3.033,2.161,4.5,1,tarde,1,16.22
22.8,0.0,3.586,2.959,0.0,1,tarde,1,70.42
28.6,0.0,2.237,2.799,11.9,1,tarde,1,55.13
25.5,0.0,3.224,0.734,13.0,1,tarde,1,28.81
30.7,0.7,1.808,1.869,16.7,0,tarde,1,21.36
20.7,0.0,2.751,1.352,11.4,1,tarde,1,38.72
31.5,1.5,2.872,2.579,11.8,0,tarde,1,71.38
16.5,0.0,0.648,1.678,9.3,1,noche,0,94.79
19.5,0.0,1.232,1.06,13.8,1,noche,0,38.52
16.9,0.0,0.595,3.005,11.3,1,mañana,0,26.65
21.7,0.0,1.586,1.948,13.2,1,noche,0,35.43
15.5,0.0,1.257,1.521,10.6,1,noche,0,66.61
5.0,0.0,0.736,1.495,2.1,1,noche,0,40.58
11.8,0.0,1.042,0.885,9.6,1,noche,0,82.62
20.1,0.0,0.684,1.426,13.4,1,noche,0,67.57
7.5,0.0,0.513,1.82,2.3,1,noche,0,61.0
10.1,0.0,1.287,0.854,6.0,1,noche,0,58.5
16.8,0.0,0.927,1.686,10.2,1,noche,0,19.27
20.1,0.0,0.547,1.414,16.4,1,mañana,0,77.26
14.4,0.0,1.91,2.826,5.5,1,mañana,0,24.77
17.1,0.0,1.147,2.045,9.3,1,mañana,0,76.4
13.3,0.0,1.467,1.801,6.0,1,mañana,0,41.83
22.3,0.0,1.113,2.875,11.5,1,mañana,0,28.14
20.9,0.0,1.2,1.206,14.0,1,noche,1,85.12
19.6,0.0,2.137,1.543,8.9,1,noche,1,94.56
13.3,0.0,1.223,1.629,10.7,1,noche,0,24.21
22.9,0.0,0.949,2.299,16.3,1,noche,0,82.78
13.1,0.0,0.735,2.25,7.7,1,noche,0,77.63
19.4,0.0,1.617,2.543,9.7,1,noche,0,15.2
15.5,0.0,1.665,1.575,11.9,1,noche,0,61.76
13.7,0.0,0.362,2.374,10.1,1,noche,0,52.14
19.2,0.0,1.928,3.116,10.6,1,mañana,0,70.72
18.7,0.0,1.912,1.826,11.5,1,mañana,0,45.13
17.4,0.0,1.245,1.765,12.0,1,mañana,0,32.38
19.8,0.0,0.84,1.942,9.7,1,mañana,0,39.21
28.3,0.0,2.822,0.866,15.6,1,tarde,1,66.16
25.3,0.0,1.755,2.285,11.5,1,tarde,1,81.83
34.4,4.4,2.445,1.673,16.7,0,tarde,1,26.8
35.3,5.3,2.808,2.249,16.2,0,tarde,1,61.38
34.5,4.5,2.836,1.551,20.3,0,tarde,1,67.73
14.8,0.0,1.47,2.427,9.3,1,mañana,0,16.26
23.6,0.0,1.211,3.145,17.2,1,mañana,0,28.79
5.0,0.0,1.677,2.508,1.6,1,mañana,0,86.55
17.7,0.0,0.727,1.367,13.6,1,noche,0,90.63
14.0,0.0,1.444,3.022,5.5,1,noche,0,40.77
30.2,0.2,0.849,2.577,16.5,0,noche,1,78.45
12.6,0.0,1.16,1.661,7.6,1,noche,0,91.29
23.2,0.0,1.712,2.841,10.4,1,noche,0,55.58
14.5,0.0,0.591,2.109,8.9,1,noche,0,77.9
13.5,0.0,1.703,1.94,7.1,1,mañana,0,41.37
16.6,0.0,1.283,2.397,8.5,1,mañana,0,23.66
16.6,0.0,0.907,1.553,10.4,1,mañana,0,62.98
19.4,0.0,0.93,2.898,14.3,1,noche,0,17.1
7.6,0.0,0.29,2.39,4.4,1,noche,0,58.2
17.1,0.0,1.029,2.234,11.0,1,mañana,0,92.74
12.2,0.0,1.457,2.583,5.3,1,mañana,0,29.51
14.9,0.0,1.51,2.0,8.8,1,mañana,0,76.77
15.1,0.0,1.017,1.277,11.5,1,noche,0,27.45
16.6,0.0,1.528,2.265,8.6,1,noche,0,55.83
15.5,0.0,0.834,0.293,11.7,1,tarde,0,69.28
12.3,0.0,1.742,2.297,7.0,1,tarde,0,32.24
13.1,0.0,1.658,2.48,3.7,1,tarde,0,46.68
20.6,0.0,0.429,2.651,13.4,1,tarde,0,41.25
16.5,0.0,0.481,1.472,14.1,1,tarde,0,73.27
14.9,0.0,0.699,1.633,9.9,1,mañana,0,88.69
12.9,0.0,0.798,2.04,5.5,1,mañana,0,41.98
18.7,0.0,0.674,3.038,8.0,1,tarde,0,81.56
19.4,0.0,1.472,3.138,8.7,1,tarde,0,33.86
13.0,0.0,0.619,2.176,9.4,1,tarde,0,35.33
11.1,0.0,0.814,0.525,9.1,1,noche,0,24.12
13.0,0.0,0.994,1.756,8.0,1,noche,0,74.0
5.0,0.0,1.256,0.737,0.7,1,noche,0,50.38
12.7,0.0,1.227,2.624,5.4,1,noche,0,45.22
18.2,0.0,1.738,3.146,8.1,1,noche,0,19.35
14.7,0.0,1.047,2.062,9.8,1,noche,0,65.98
17.5,0.0,1.489,2.209,7.9,1,noche,0,36.28
30.7,0.7,1.116,2.184,17.8,0,noche,1,64.2
17.0,0.0,2.205,1.754,6.9,1,noche,1,50.08
23.7,0.0,1.09,2.587,12.9,1,noche,1,67.2
12.7,0.0,1.535,3.05,5.4,1,mañana,0,51.04
15.5,0.0,0.506,1.983,12.1,1,mañana,0,79.14
8.1,0.0,1.064,0.663,5.7,1,mañana,0,41.59
11.2,0.0,1.514,2.462,4.5,1,noche,0,45.99
13.3,0.0,1.767,1.384,3.6,1,mañana,0,61.62
5.9,0.0,0.72,1.731,5.2,1,mañana,0,91.0
15.3,0.0,1.132,2.022,11.1,1,mañana,0,39.21
20.0,0.0,1.417,2.409,9.0,1,mañana,0,38.66
7.2,0.0,1.252,1.748,5.2,1,mañana,0,40.21
27.5,0.0,1.47,2.247,19.2,1,mañana,0,76.69
13.5,0.0,0.764,2.414,7.0,1,noche,0,77.75
14.6,0.0,1.151,0.399,10.4,1,noche,0,84.84
14.3,0.0,1.26,1.67,8.4,1,noche,0,32.47
12.7,0.0,1.211,2.315,6.4,1,noche,0,19.3
16.6,0.0,1.18,2.442,10.0,1,mañana,0,50.0
20.6,0.0,0.398,0.842,17.4,1,mañana,0,22.93
21.0,0.0,1.256,1.911,14.9,1,mañana,0,35.47
15.5,0.0,1.324,2.429,6.2,1,noche,0,23.87
21.1,0.0,1.359,1.438,15.9,1,noche,0,45.39
12.5,0.0,0.841,1.536,5.5,1,noche,0,27.33
11.2,0.0,1.369,0.995,4.6,1,noche,0,29.15
16.5,0.0,0.681,2.657,8.7,1,mañana,0,43.85
24.4,0.0,0.995,3.166,11.7,1,mañana,0,33.92
12.6,0.0,0.448,2.508,5.9,1,mañana,0,63.85
10.8,0.0,0.762,1.387,4.9,1,mañana,0,18.4
17.7,0.0,0.361,0.681,15.8,1,mañana,0,78.08
16.2,0.0,0.745,1.24,13.0,1,mañana,0,86.67
35.7,5.7,1.723,2.293,25.4,0,tarde,1,79.92
28.1,0.0,0.992,1.228,20.8,1,tarde,1,17.53
18.4,0.0,3.206,1.029,2.1,1,tarde,1,75.48
25.7,0.0,1.15,0.567,18.2,1,tarde,1,18.48
17.4,0.0,1.24,2.133,8.8,1,mañana,0,52.87
16.7,0.0,0.858,1.639,11.6,1,mañana,0,76.99
9.9,0.0,1.718,1.358,5.5,1,noche,0,42.12
16.8,0.0,1.385,1.476,9.1,1,noche,0,20.22
14.2,0.0,1.413,0.509,10.4,1,tarde,0,23.21
7.2,0.0,1.676,0.829,2.2,1,tarde,0,60.81
15.9,0.0,1.508,0.758,8.8,1,tarde,0,32.32
14.2,0.0,0.377,1.197,15.3,1,noche,0,93.4
12.0,0.0,1.735,1.86,5.8,1,noche,0,31.45
8.9,0.0,1.459,0.677,2.8,1,noche,0,88.83
10.3,0.0,1.219,1.141,4.7,1,noche,0,43.85
19.8,0.0,1.047,2.865,14.2,1,noche,0,20.38
14.4,0.0,1.056,1.317,9.8,1,noche,0,80.56
16.4,0.0,0.332,1.207,11.2,1,noche,0,37.85
7.8,0.0,1.181,2.038,2.1,1,tarde,0,58.37
17.3,0.0,1.113,2.318,10.9,1,mañana,0,44.51
11.9,0.0,1.067,1.22,8.5,1,mañana,0,75.31
16.6,0.0,1.207,2.105,7.5,1,mañana,0,70.08
10.4,0.0,1.339,1.092,6.4,1,mañana,0,20.93
21.5,0.0,2.806,1.708,4.6,1,noche,1,24.93
23.5,0.0,2.364,2.375,6.6,1,noche,1,55.4
25.6,0.0,3.071,2.243,9.5,1,noche,1,39.23
27.2,0.0,1.057,2.448,12.7,1,noche,1,24.27
36.5,6.5,0.979,2.487,24.1,0,noche,1,21.05
19.8,0.0,2.163,2.154,10.4,1,noche,1,94.83
12.9,0.0,0.364,1.756,9.8,1,noche,0,18.3
16.4,0.0,1.106,0.682,15.6,1,noche,0,34.59
17.1,0.0,0.762,1.981,12.3,1,noche,0,33.35
10.3,0.0,1.154,0.457,6.1,1,noche,0,40.55
14.0,0.0,1.483,2.523,8.6,1,noche,0,91.06
13.5,0.0,0.554,0.305,9.0,1,noche,0,92.21
20.3,0.0,1.242,0.596,16.4,1,noche,0,15.12
18.4,0.0,1.159,2.257,7.0,1,mañana,0,48.45
8.1,0.0,1.851,2.165,1.7,1,mañana,0,38.91
17.2,0.0,0.846,2.448,10.3,1,mañana,0,57.73
18.1,0.0,1.368,2.49,12.0,1,noche,0,46.46
12.1,0.0,0.906,2.823,6.8,1,noche,0,72.78
29.5,0.0,3.002,1.749,12.4,1,tarde,1,73.2
24.0,0.0,2.233,1.497,11.3,1,tarde,1,48.65
34.6,4.6,3.016,2.456,17.3,0,tarde,1,63.26
20.7,0.0,2.722,1.244,7.5,1,tarde,1,94.13
15.5,0.0,1.308,0.798,7.5,1,tarde,1,77.2
11.9,0.0,0.924,2.297,7.8,1,noche,0,25.96
21.5,0.0,0.323,1.024,13.5,1,mañana,0,38.94
7.9,0.0,0.72,2.346,0.0,1,mañana,0,89.17
5.0,0.0,0.86,1.708,0.0,1,tarde,0,70.04
7.4,0.0,0.691,1.668,4.7,1,noche,0,26.82
18.6,0.0,0.833,1.032,12.6,1,noche,0,87.88
17.4,0.0,1.9,2.023,9.4,1,noche,0,86.08
7.6,0.0,0.468,1.348,3.9,1,noche,0,46.93
13.7,0.0,0.945,0.589,12.4,1,mañana,0,73.19
10.6,0.0,0.829,3.012,7.7,1,mañana,0,45.34
16.3,0.0,1.42,0.921,7.9,1,tarde,1,69.07
26.4,0.0,2.423,2.086,9.5,1,tarde,1,51.99
14.1,0.0,1.188,1.379,9.3,1,noche,0,40.36
10.8,0.0,1.455,1.585,4.9,1,noche,0,46.59
17.0,0.0,0.255,2.049,9.6,1,noche,0,18.37
30.7,0.7,1.73,2.153,16.0,0,noche,1,34.4
25.6,0.0,2.699,1.466,12.2,1,noche,1,93.16
27.3,0.0,2.874,2.673,7.4,1,noche,1,77.01
19.3,0.0,1.369,2.24,12.3,1,noche,0,89.33
19.4,0.0,1.072,2.922,10.8,1,noche,0,90.13
8.6,0.0,1.07,0.837,6.3,1,noche,0,78.15
14.3,0.0,0.991,2.413,7.1,1,mañana,0,17.98
22.6,0.0,1.525,2.139,16.4,1,tarde,0,15.74
18.3,0.0,3.154,0.219,6.7,1,tarde,1,51.71
20.0,0.0,0.915,1.848,10.9,1,tarde,1,66.91
21.6,0.0,1.507,0.35,12.1,1,tarde,1,45.67
15.4,0.0,0.896,2.047,12.8,1,mañana,0,56.22
16.7,0.0,0.777,3.425,7.0,1,mañana,0,55.27
12.4,0.0,1.6,0.67,7.6,1,mañana,0,94.52
13.3,0.0,1.283,2.535,7.0,1,noche,0,35.92
18.7,0.0,1.643,2.2,8.5,1,noche,0,81.63
17.1,0.0,1.476,2.928,6.4,1,noche,0,15.4
17.5,0.0,1.445,2.419,8.8,1,noche,0,28.14
18.9,0.0,1.006,2.273,14.6,1,noche,0,66.1
17.9,0.0,1.376,2.406,7.5,1,noche,0,81.05
14.2,0.0,0.134,1.887,11.3,1,noche,0,25.56
17.6,0.0,0.113,2.158,10.6,1,noche,0,31.17
14.9,0.0,0.558,1.088,10.6,1,mañana,0,60.11
18.9,0.0,0.867,2.91,7.7,1,mañana,0,71.92
19.0,0.0,1.963,1.29,6.7,1,noche,1,19.82
17.9,0.0,1.44,1.328,10.7,1,mañana,0,45.2
12.2,0.0,1.299,0.783,6.1,1,mañana,0,41.02
15.1,0.0,1.847,1.903,8.1,1,tarde,0,93.28
20.2,0.0,0.874,1.701,15.0,1,tarde,0,64.19
11.0,0.0,1.284,1.663,3.9,1,tarde,0,70.7
14.7,0.0,0.323,2.017,9.4,1,noche,0,58.18
15.2,0.0,0.885,1.379,8.2,1,noche,0,29.15
8.8,0.0,1.462,0.538,4.4,1,tarde,0,56.7
11.9,0.0,1.499,2.234,6.8,1,tarde,0,90.49
20.2,0.0,1.75,2.152,11.4,1,tarde,0,90.33
12.6,0.0,1.255,2.412,5.7,1,tarde,0,78.59
16.2,0.0,0.707,0.095,12.6,1,tarde,0,93.8
16.4,0.0,1.152,1.149,9.0,1,tarde,0,50.04
14.4,0.0,1.287,2.172,5.8,1,tarde,0,82.61
17.3,0.0,0.65,1.594,12.1,1,noche,0,19.61
11.7,0.0,1.846,1.761,3.8,1,noche,0,64.09
16.6,0.0,1.626,1.599,9.2,1,noche,0,33.32
29.2,0.0,1.589,2.231,17.2,1,noche,1,30.24
28.3,0.0,2.741,1.291,13.6,1,noche,1,44.63
10.8,0.0,1.45,1.711,3.3,1,noche,0,16.23
13.5,0.0,0.839,1.378,7.6,1,noche,0,66.9
13.4,0.0,0.896,1.698,8.4,1,noche,0,74.3
13.8,0.0,1.581,1.366,7.5,1,noche,0,23.63
14.7,0.0,0.34,1.93,7.6,1,noche,0,67.37
11.7,0.0,1.463,1.626,5.9,1,mañana,0,58.37
9.4,0.0,1.426,1.392,4.9,1,noche,0,15.73
21.3,0.0,0.465,1.59,18.0,1,noche,0,37.81
18.4,0.0,1.341,2.21,11.6,1,mañana,0,57.86
18.7,0.0,0.239,1.099,15.1,1,mañana,0,71.87
31.2,1.2,3.032,2.79,9.1,0,noche,1,43.36
37.5,7.5,1.709,1.961,22.6,0,noche,1,43.3
15.0,0.0,1.454,1.643,6.7,1,tarde,0,45.34
11.6,0.0,0.274,2.806,8.1,1,tarde,0,19.73
12.9,0.0,1.37,1.87,1.6,1,mañana,0,86.58
18.7,0.0,1.242,3.206,8.9,1,mañana,0,43.86
22.9,0.0,1.335,2.982,9.8,1,noche,0,91.92
9.8,0.0,1.323,0.368,9.0,1,noche,0,84.68
12.1,0.0,0.632,1.744,9.6,1,tarde,0,74.18
7.0,0.0,1.354,1.868,3.3,1,mañana,0,36.87
20.2,0.0,1.341,1.196,13.7,1,noche,0,72.05
11.4,0.0,1.292,1.714,8.2,1,noche,0,78.97
28.3,0.0,1.799,3.124,11.2,1,tarde,1,59.56
25.9,0.0,2.471,1.68,13.4,1,tarde,1,24.08
23.1,0.0,2.593,1.505,9.1,1,tarde,1,49.89
23.0,0.0,0.881,0.931,15.2,1,tarde,1,86.12
38.5,8.5,1.344,1.675,22.3,0,tarde,1,77.39
12.8,0.0,1.274,0.991,7.2,1,noche,0,21.78
11.5,0.0,1.662,2.468,1.6,1,noche,0,56.43
16.9,0.0,1.12,1.621,11.7,1,mañana,0,43.89
12.2,0.0,1.181,1.861,9.0,1,mañana,0,80.19
30.4,0.4,2.948,2.407,14.2,0,tarde,1,50.22
33.0,3.0,2.997,1.318,16.0,0,tarde,1,91.4
28.7,0.0,2.842,1.753,14.2,1,noche,1,34.39
31.5,1.5,2.521,1.986,15.0,0,noche,1,25.54
12.5,0.0,1.57,2.943,3.9,1,noche,0,90.44
29.1,0.0,2.588,0.455,17.8,1,noche,1,50.93
39.7,9.7,1.56,3.054,23.5,0,noche,1,39.24
13.6,0.0,1.236,0.984,11.0,1,tarde,0,57.95
17.7,0.0,0.637,2.351,14.4,1,tarde,0,49.44
16.3,0.0,0.761,1.659,9.9,1,mañana,0,70.23
11.5,0.0,1.381,2.634,5.4,1,mañana,0,42.86
43.6,13.6,2.183,2.578,25.5,0,noche,1,74.24
17.0,0.0,1.36,1.421,11.9,1,noche,0,30.79
16.5,0.0,1.186,2.412,12.1,1,noche,0,23.1
23.0,0.0,1.154,2.643,12.9,1,tarde,0,41.08
13.2,0.0,0.915,2.087,4.3,1,tarde,0,76.24
18.9,0.0,1.241,2.573,11.6,1,tarde,0,25.67
7.2,0.0,1.456,0.698,4.0,1,tarde,0,69.44
9.1,0.0,0.417,0.73,5.2,1,mañana,0,71.48
10.0,0.0,0.594,0.344,9.8,1,mañana,0,28.86
16.6,0.0,1.417,0.855,12.1,1,mañana,0,86.73
19.5,0.0,1.903,2.017,6.6,1,noche,1,45.7
22.5,0.0,2.144,1.266,12.1,1,noche,1,41.22
15.1,0.0,0.168,2.018,10.9,1,mañana,0,80.22
20.9,0.0,2.062,2.046,8.5,1,noche,1,32.99
25.3,0.0,1.177,2.864,11.6,1,noche,1,47.61
28.9,0.0,3.809,3.112,6.4,1,noche,1,88.99
31.1,1.1,2.798,2.15,11.6,0,noche,1,55.68
14.3,0.0,1.147,2.356,7.0,1,tarde,0,58.71
16.0,0.0,0.762,0.722,13.7,1,tarde,0,84.09
12.4,0.0,1.381,2.136,4.6,1,tarde,0,80.79
15.4,0.0,1.267,1.563,7.2,1,tarde,0,28.19
20.2,0.0,0.94,1.614,13.1,1,tarde,1,62.03
31.7,1.7,1.018,2.599,18.8,0,tarde,1,86.42
23.4,0.0,3.516,2.029,2.3,1,tarde,1,31.74
25.8,0.0,2.026,2.447,11.1,1,tarde,1,66.8
26.3,0.0,3.769,1.44,9.1,1,tarde,1,17.59
18.3,0.0,1.46,2.055,11.8,1,tarde,0,71.32
12.6,0.0,1.044,0.756,8.7,1,tarde,0,65.75
16.7,0.0,1.551,3.042,11.9,1,mañana,0,84.36
14.3,0.0,1.98,2.42,7.4,1,mañana,0,37.56
11.1,0.0,1.156,1.569,5.9,1,noche,0,65.69
15.2,0.0,0.892,1.549,9.8,1,noche,0,30.05
9.0,0.0,1.254,0.234,8.0,1,mañana,0,22.45
8.6,0.0,1.154,1.797,6.3,1,mañana,0,30.96
13.2,0.0,0.938,2.834,6.2,1,noche,0,83.19
13.0,0.0,1.178,0.289,9.3,1,noche,0,19.2
