id_pedido,id_tiempo,id_zona,id_restaurante,id_repartidor,id_cliente,id_estado,tiempo_total_min,dist_asignacion_km,dist_entrega_km,tiempo_espera_rest_min,cumple_sla,minutos_retraso,valor_pedido_soles,hora_dia,dia_semana,es_hora_pico
22,22,2,9,73,2478,2,21.1,3.497,1.285,1.0,1,0.0,27.44,13,Sunday,1
8693,22,5,6,43,1209,1,33.0,1.729,2.326,19.0,0,3.0,73.79,13,Sunday,1
23,23,3,6,198,536,1,17.0,0.974,1.183,10.9,1,0.0,15.28,16,Saturday,0
6759,23,4,3,198,2904,2,11.6,1.353,0.853,10.5,1,0.0,88.03,16,Saturday,0
24,24,2,8,150,2264,1,17.7,0.263,3.219,13.7,1,0.0,81.77,18,Sunday,0
4017,24,3,2,182,1723,1,11.0,0.591,2.607,5.7,1,0.0,66.61,18,Sunday,0
9285,24,3,8,165,1711,2,6.4,0.299,0.704,3.9,1,0.0,18.5,18,Sunday,0
25,25,2,3,105,2543,2,27.8,2.867,3.172,7.6,1,0.0,85.73,21,Saturday,1
26,26,3,4,172,1017,2,32.2,3.556,2.432,8.1,0,2.2,47.94,12,Wednesday,1
5995,26,1,1,172,1093,4,17.7,1.132,0.607,13.7,1,0.0,31.12,12,Wednesday,1
27,27,3,2,72,285,2,27.9,2.802,1.479,12.7,1,0.0,46.88,19,Saturday,1
5611,27,3,6,13,737,3,32.2,2.155,1.583,17.5,0,2.2,92.89,19,Saturday,1
28,28,1,9,68,157,1,20.8,1.446,2.16,10.1,1,0.0,92.0,8,Thursday,0
96,28,5,3,127,1901,1,13.5,1.307,1.597,10.6,1,0.0,76.83,8,Thursday,0
29,29,2,7,138,2814,1,23.9,0.961,2.394,16.9,1,0.0,56.59,16,Monday,0
6473,29,3,4,83,2422,2,10.1,0.865,0.558,10.8,1,0.0,49.11,16,Monday,0
30,30,4,7,105,1337,1,13.7,1.38,1.247,11.1,1,0.0,39.74,10,Tuesday,0
1341,30,1,7,80,2993,1,25.8,1.041,2.662,16.9,1,0.0,65.32,10,Tuesday,0
4036,30,2,10,51,1565,1,20.5,1.542,1.756,12.4,1,0.0,16.88,10,Tuesday,0
6072,30,2,10,144,1153,1,12.2,0.215,1.611,6.6,1,0.0,28.42,10,Tuesday,0
31,31,5,5,54,1761,3,8.9,0.921,1.016,6.9,1,0.0,39.31,18,Friday,0
2729,31,5,10,190,1480,2,9.5,1.317,2.226,0.8,1,0.0,27.61,18,Friday,0
32,32,3,6,24,963,2,18.5,0.4,1.44,13.8,1,0.0,64.54,14,Friday,1
4824,32,4,5,89,824,4,28.2,3.035,1.944,9.9,1,0.0,61.04,14,Friday,1
33,33,2,4,103,1000,2,16.8,1.704,2.484,6.4,1,0.0,45.72,5,Thursday,0
34,34,1,1,143,1021,2,17.0,1.586,2.364,5.5,1,0.0,52.16,18,Wednesday,0
102,34,5,7,190,2808,1,9.7,1.273,2.1,4.3,1,0.0,71.23,18,Wednesday,0
35,35,2,3,141,1827,1,19.3,1.031,2.488,14.6,1,0.0,81.45,6,Wednesday,0
4216,35,2,6,30,1540,1,20.0,2.033,1.724,13.1,1,0.0,46.55,6,Wednesday,0
36,36,3,8,61,1113,1,24.4,1.51,2.022,12.5,1,0.0,72.08,19,Tuesday,1
37,37,1,9,100,2393,1,15.5,1.626,1.799,9.8,1,0.0,81.63,3,Saturday,0
1049,37,4,6,126,112,1,11.5,1.528,1.897,5.7,1,0.0,92.71,3,Saturday,0
38,38,2,10,140,2471,1,14.9,1.496,1.447,13.0,1,0.0,74.8,17,Thursday,0
39,39,1,4,152,2312,1,26.5,1.367,0.997,13.7,1,0.0,87.55,14,Monday,1
4631,39,3,7,75,115,3,20.7,0.728,0.842,13.8,1,0.0,71.92,14,Monday,1
7105,39,4,9,9,2829,5,23.3,2.523,1.564,10.6,1,0.0,53.47,14,Monday,1
8785,39,4,9,40,820,2,21.3,2.279,0.972,11.9,1,0.0,47.43,14,Monday,1
40,40,1,7,108,1034,3,21.5,2.201,2.329,5.9,1,0.0,37.26,14,Friday,1
41,41,2,1,160,625,1,24.9,1.515,2.636,16.1,1,0.0,82.14,15,Monday,0
3094,41,3,6,63,237,4,13.8,1.501,2.172,6.8,1,0.0,74.81,15,Monday,0
5057,41,3,5,130,1171,1,17.8,0.843,1.038,14.5,1,0.0,25.49,15,Monday,0
9441,41,4,3,168,1655,5,11.6,0.552,1.846,9.7,1,0.0,71.25,15,Monday,0
42,42,3,8,30,671,2,12.4,0.543,1.718,9.0,1,0.0,74.83,0,Monday,0
5686,42,2,5,121,896,1,20.8,2.034,2.195,7.9,1,0.0,61.24,0,Monday,0
6184,42,4,4,136,2179,2,13.8,0.315,2.435,9.8,1,0.0,63.97,0,Monday,0
43,43,5,10,198,1236,2,16.5,1.529,2.414,5.9,1,0.0,23.15,23,Sunday,0
44,44,4,2,126,433,1,35.8,1.822,2.304,20.3,0,5.8,82.97,20,Friday,1
1929,44,3,8,54,1703,5,19.5,2.424,1.185,7.1,1,0.0,73.97,20,Friday,1
6368,44,1,10,10,758,1,27.8,2.908,1.863,16.3,1,0.0,68.1,20,Friday,1
45,45,2,8,69,1321,1,15.5,0.651,2.564,11.3,1,0.0,73.48,15,Monday,0
119,45,1,7,72,1023,1,15.0,1.927,1.753,6.7,1,0.0,40.15,15,Monday,0
3264,45,4,10,179,786,2,13.8,1.134,2.327,5.6,1,0.0,79.37,15,Monday,0
9893,45,3,9,172,2045,1,16.7,0.772,1.72,8.7,1,0.0,52.83,15,Monday,0
46,46,3,2,55,1454,3,29.3,1.36,1.3,20.1,1,0.0,29.55,14,Monday,1
810,46,5,10,148,2582,5,27.8,3.108,2.511,10.5,1,0.0,60.23,14,Monday,1
47,47,4,5,166,2916,2,16.6,1.287,2.649,9.2,1,0.0,70.25,4,Sunday,0
2413,47,4,7,89,2052,2,17.6,0.553,2.055,10.2,1,0.0,52.94,4,Sunday,0
6137,47,5,4,99,685,1,19.3,0.692,2.491,12.3,1,0.0,83.55,4,Sunday,0
48,48,3,1,191,2255,1,6.6,1.472,1.351,2.1,1,0.0,49.04,1,Sunday,0
5949,48,5,1,32,2749,2,18.0,1.225,2.416,11.3,1,0.0,88.68,1,Sunday,0
49,49,5,8,186,2415,1,18.6,1.004,2.425,11.7,1,0.0,53.74,15,Thursday,0
781,49,2,10,121,2482,2,9.4,0.796,1.8,7.7,1,0.0,45.12,15,Thursday,0
8394,49,3,4,77,1030,1,25.6,0.727,2.906,15.9,1,0.0,46.67,15,Thursday,0
50,50,3,5,14,2267,1,13.4,1.744,1.227,4.5,1,0.0,18.64,18,Monday,0
8300,50,5,7,18,163,1,5.0,0.626,0.154,3.1,1,0.0,45.24,18,Monday,0
51,51,4,3,17,1642,4,28.0,1.702,3.11,11.7,1,0.0,53.22,20,Friday,1
5657,51,2,3,9,226,4,24.7,0.475,2.695,12.1,1,0.0,55.58,20,Friday,1
7631,51,5,7,39,64,1,31.7,0.992,2.386,23.6,0,1.7,35.55,20,Friday,1
9621,51,2,5,75,1500,1,36.4,2.429,1.083,22.8,0,6.4,61.06,20,Friday,1
52,52,5,10,156,2442,1,18.5,1.369,1.784,6.1,1,0.0,76.16,18,Monday,0
9931,52,3,10,139,535,4,11.1,0.961,0.905,5.7,1,0.0,72.39,18,Monday,0
53,53,3,9,161,865,1,15.0,1.254,1.104,5.6,1,0.0,76.02,15,Thursday,0
5353,53,2,8,2,2448,2,10.0,1.16,2.15,5.5,1,0.0,35.59,15,Thursday,0
6031,53,4,2,191,186,1,14.9,0.762,2.066,8.7,1,0.0,17.93,15,Thursday,0
6324,53,4,1,124,1188,2,17.9,1.204,2.089,8.5,1,0.0,40.08,15,Thursday,0
9109,53,4,2,104,1514,1,11.1,0.428,2.446,4.8,1,0.0,34.49,15,Thursday,0
54,54,4,2,181,1159,1,17.7,1.408,3.235,7.6,1,0.0,33.52,11,Friday,0
55,55,2,4,19,245,4,12.4,1.529,1.008,10.1,1,0.0,81.13,15,Sunday,0
3033,55,2,7,11,2830,3,22.8,0.555,2.318,14.3,1,0.0,23.12,15,Sunday,0
7281,55,1,1,91,2483,3,7.1,0.737,1.017,6.9,1,0.0,71.38,15,Sunday,0
9971,55,4,1,75,959,1,16.9,1.498,1.631,12.9,1,0.0,90.72,15,Sunday,0
56,56,1,5,127,1794,4,24.1,1.99,2.131,13.2,1,0.0,55.04,19,Sunday,1
8151,56,2,7,67,503,1,32.5,2.382,2.475,18.1,0,2.5,77.75,19,Sunday,1
57,57,1,1,69,2361,1,20.4,1.358,2.381,11.3,1,0.0,76.18,6,Tuesday,0
3156,57,2,4,173,1577,4,12.1,1.004,2.103,8.7,1,0.0,54.84,6,Tuesday,0
58,58,3,3,90,1673,1,9.3,0.454,2.604,4.7,1,0.0,22.3,8,Wednesday,0
59,59,5,2,198,1656,1,15.5,1.186,1.421,12.4,1,0.0,40.86,16,Saturday,0
7254,59,2,10,119,734,1,24.1,0.589,2.208,16.0,1,0.0,89.84,16,Saturday,0
60,60,5,1,53,1094,2,12.6,0.49,1.591,5.8,1,0.0,75.8,8,Saturday,0
1221,60,1,5,124,676,1,6.8,1.223,1.97,4.4,1,0.0,53.5,8,Saturday,0
61,61,1,5,30,1891,1,32.9,1.224,2.995,18.9,0,2.9,32.98,21,Tuesday,1
747,61,5,7,103,327,1,22.1,2.79,0.809,9.1,1,0.0,75.3,21,Tuesday,1
8018,61,2,8,1,1014,2,29.1,1.448,0.38,21.4,1,0.0,89.06,21,Tuesday,1
9007,61,1,1,148,234,5,22.7,1.209,1.224,17.3,1,0.0,16.67,21,Tuesday,1
62,62,2,3,154,2082,2,29.0,1.274,1.111,21.2,1,0.0,45.69,13,Sunday,1
2417,62,3,1,157,1632,2,29.6,2.538,2.477,9.6,1,0.0,74.84,13,Sunday,1
2422,62,5,7,125,806,3,26.6,3.17,2.439,9.4,1,0.0,91.13,13,Sunday,1
8829,62,3,1,123,1076,4,31.9,2.867,2.581,11.2,0,1.9,24.32,13,Sunday,1
63,63,5,2,39,1830,2,29.8,2.172,2.17,15.9,1,0.0,67.8,13,Sunday,1
3294,63,4,9,91,1009,2,26.2,2.434,2.664,11.0,1,0.0,80.83,13,Sunday,1
9891,63,1,2,83,811,1,25.4,0.758,3.092,12.6,1,0.0,56.71,13,Sunday,1
64,64,1,6,199,1683,1,9.1,0.922,2.208,7.0,1,0.0,45.64,2,Sunday,0
3373,64,1,5,25,2763,2,11.9,0.767,2.956,7.2,1,0.0,90.58,2,Sunday,0
5518,64,2,9,110,80,2,21.7,0.972,1.853,14.7,1,0.0,59.55,2,Sunday,0
65,65,5,8,113,409,2,33.3,2.208,0.984,20.4,0,3.3,84.58,13,Friday,1
9550,65,3,10,57,933,5,23.8,3.033,2.161,4.5,1,0.0,16.22,13,Friday,1
66,66,3,8,167,329,1,22.8,3.586,2.959,0.0,1,0.0,70.42,13,Thursday,1
2613,66,5,8,110,500,1,28.6,2.237,2.799,11.9,1,0.0,55.13,13,Thursday,1
2704,66,1,8,142,1602,1,25.5,3.224,0.734,13.0,1,0.0,28.81,13,Thursday,1
3939,66,4,2,180,795,4,30.7,1.808,1.869,16.7,0,0.7,21.36,13,Thursday,1
8463,66,3,2,25,25,1,20.7,2.751,1.352,11.4,1,0.0,38.72,13,Thursday,1
8881,66,2,9,119,1002,2,31.5,2.872,2.579,11.8,0,1.5,71.38,13,Thursday,1
67,67,4,9,192,371,4,16.5,0.648,1.678,9.3,1,0.0,94.79,0,Wednesday,0
556,67,2,7,8,586,1,19.5,1.232,1.06,13.8,1,0.0,38.52,0,Wednesday,0
68,68,5,2,136,1688,1,16.9,0.595,3.005,11.3,1,0.0,26.65,5,Thursday,0
69,69,3,3,3,1906,1,21.7,1.586,1.948,13.2,1,0.0,35.43,18,Saturday,0
2058,69,2,1,59,1223,2,15.5,1.257,1.521,10.6,1,0.0,66.61,18,Saturday,0
9761,69,1,5,62,1744,2,5.0,0.736,1.495,2.1,1,0.0,40.58,18,Saturday,0
70,70,4,9,51,1576,1,11.8,1.042,0.885,9.6,1,0.0,82.62,3,Friday,0
6843,70,2,1,3,480,1,20.1,0.684,1.426,13.4,1,0.0,67.57,3,Friday,0
9564,70,1,7,9,489,1,7.5,0.513,1.82,2.3,1,0.0,61.0,3,Friday,0
9628,70,2,2,116,1108,1,10.1,1.287,0.854,6.0,1,0.0,58.5,3,Friday,0
9859,70,2,2,161,590,3,16.8,0.927,1.686,10.2,1,0.0,19.27,3,Friday,0
71,71,4,4,13,2484,3,20.1,0.547,1.414,16.4,1,0.0,77.26,10,Sunday,0
7221,71,5,1,190,2713,1,14.4,1.91,2.826,5.5,1,0.0,24.77,10,Sunday,0
72,72,1,5,175,561,2,17.1,1.147,2.045,9.3,1,0.0,76.4,10,Tuesday,0
5015,72,3,6,189,2588,1,13.3,1.467,1.801,6.0,1,0.0,41.83,10,Tuesday,0
8261,72,1,4,150,2374,1,22.3,1.113,2.875,11.5,1,0.0,28.14,10,Tuesday,0
73,73,5,1,94,2175,2,20.9,1.2,1.206,14.0,1,0.0,85.12,20,Monday,1
3369,73,4,8,179,1531,1,19.6,2.137,1.543,8.9,1,0.0,94.56,20,Monday,1
74,74,2,5,20,577,1,13.3,1.223,1.629,10.7,1,0.0,24.21,18,Friday,0
2005,74,4,9,123,1080,2,22.9,0.949,2.299,16.3,1,0.0,82.78,18,Friday,0
5679,74,4,3,93,574,2,13.1,0.735,2.25,7.7,1,0.0,77.63,18,Friday,0
7707,74,4,5,189,2544,3,19.4,1.617,2.543,9.7,1,0.0,15.2,18,Friday,0
75,75,1,7,164,1522,2,15.5,1.665,1.575,11.9,1,0.0,61.76,1,Saturday,0
76,76,4,4,180,1238,2,13.7,0.362,2.374,10.1,1,0.0,52.14,1,Thursday,0
77,77,5,3,139,1717,4,19.2,1.928,3.116,10.6,1,0.0,70.72,7,Thursday,0
7052,77,2,3,109,1193,1,18.7,1.912,1.826,11.5,1,0.0,45.13,7,Thursday,0
78,78,3,3,114,968,2,17.4,1.245,1.765,12.0,1,0.0,32.38,6,Tuesday,0
9321,78,1,8,48,674,1,19.8,0.84,1.942,9.7,1,0.0,39.21,6,Tuesday,0
79,79,3,6,6,208,1,28.3,2.822,0.866,15.6,1,0.0,66.16,14,Thursday,1
7428,79,4,1,49,2460,3,25.3,1.755,2.285,11.5,1,0.0,81.83,14,Thursday,1
80,80,3,3,153,12,1,34.4,2.445,1.673,16.7,0,4.4,26.8,14,Thursday,1
8253,80,2,2,122,2914,1,35.3,2.808,2.249,16.2,0,5.3,61.38,14,Thursday,1
9174,80,1,4,187,2460,1,34.5,2.836,1.551,20.3,0,4.5,67.73,14,Thursday,1
81,81,2,3,68,215,2,14.8,1.47,2.427,9.3,1,0.0,16.26,8,Friday,0
1622,81,1,6,179,749,2,23.6,1.211,3.145,17.2,1,0.0,28.79,8,Friday,0
2601,81,4,10,144,2753,1,5.0,1.677,2.508,1.6,1,0.0,86.55,8,Friday,0
82,82,5,7,12,2979,1,17.7,0.727,1.367,13.6,1,0.0,90.63,1,Tuesday,0
83,83,2,8,38,270,4,14.0,1.444,3.022,5.5,1,0.0,40.77,3,Saturday,0
84,84,5,10,30,2682,1,30.2,0.849,2.577,16.5,0,0.2,78.45,19,Tuesday,1
85,85,1,4,176,1943,1,12.6,1.16,1.661,7.6,1,0.0,91.29,22,Sunday,0
1676,85,4,7,14,1770,1,23.2,1.712,2.841,10.4,1,0.0,55.58,22,Sunday,0
7505,85,1,1,130,1465,4,14.5,0.591,2.109,8.9,1,0.0,77.9,22,Sunday,0
86,86,3,2,32,1683,2,13.5,1.703,1.94,7.1,1,0.0,41.37,10,Monday,0
87,87,1,7,143,1506,1,16.6,1.283,2.397,8.5,1,0.0,23.66,6,Thursday,0
4183,87,3,6,45,1189,1,16.6,0.907,1.553,10.4,1,0.0,62.98,6,Thursday,0
88,88,3,5,169,2841,2,19.4,0.93,2.898,14.3,1,0.0,17.1,3,Wednesday,0
4309,88,4,3,107,359,2,7.6,0.29,2.39,4.4,1,0.0,58.2,3,Wednesday,0
89,89,2,3,24,2173,2,17.1,1.029,2.234,11.0,1,0.0,92.74,5,Friday,0
7298,89,1,2,108,2400,1,12.2,1.457,2.583,5.3,1,0.0,29.51,5,Friday,0
7959,89,5,2,43,747,1,14.9,1.51,2.0,8.8,1,0.0,76.77,5,Friday,0
90,90,1,7,194,2531,4,15.1,1.017,1.277,11.5,1,0.0,27.45,2,Sunday,0
2669,90,1,6,200,1971,2,16.6,1.528,2.265,8.6,1,0.0,55.83,2,Sunday,0
91,91,3,2,125,2159,1,15.5,0.834,0.293,11.7,1,0.0,69.28,17,Wednesday,0
4221,91,3,4,93,1501,5,12.3,1.742,2.297,7.0,1,0.0,32.24,17,Wednesday,0
5482,91,1,8,135,166,1,13.1,1.658,2.48,3.7,1,0.0,46.68,17,Wednesday,0
92,92,4,4,2,2038,1,20.6,0.429,2.651,13.4,1,0.0,41.25,15,Thursday,0
1337,92,5,3,113,1049,2,16.5,0.481,1.472,14.1,1,0.0,73.27,15,Thursday,0
93,93,4,3,81,2359,1,14.9,0.699,1.633,9.9,1,0.0,88.69,5,Saturday,0
4604,93,5,9,134,650,1,12.9,0.798,2.04,5.5,1,0.0,41.98,5,Saturday,0
94,94,4,7,93,361,2,18.7,0.674,3.038,8.0,1,0.0,81.56,16,Saturday,0
1436,94,5,2,89,2820,1,19.4,1.472,3.138,8.7,1,0.0,33.86,16,Saturday,0
2985,94,1,1,32,2661,1,13.0,0.619,2.176,9.4,1,0.0,35.33,16,Saturday,0
95,95,3,2,131,795,1,11.1,0.814,0.525,9.1,1,0.0,24.12,23,Saturday,0
552,95,5,10,27,1343,1,13.0,0.994,1.756,8.0,1,0.0,74.0,23,Saturday,0
97,96,5,10,78,1126,1,5.0,1.256,0.737,0.7,1,0.0,50.38,2,Tuesday,0
2549,96,5,3,200,315,1,12.7,1.227,2.624,5.4,1,0.0,45.22,2,Tuesday,0
6669,96,5,4,108,33,1,18.2,1.738,3.146,8.1,1,0.0,19.35,2,Tuesday,0
7497,96,5,9,162,54,1,14.7,1.047,2.062,9.8,1,0.0,65.98,2,Tuesday,0
8012,96,4,4,148,708,2,17.5,1.489,2.209,7.9,1,0.0,36.28,2,Tuesday,0
98,97,4,6,130,1575,3,30.7,1.116,2.184,17.8,0,0.7,64.2,19,Monday,1
7150,97,4,1,49,1210,1,17.0,2.205,1.754,6.9,1,0.0,50.08,19,Monday,1
8154,97,5,6,91,772,1,23.7,1.09,2.587,12.9,1,0.0,67.2,19,Monday,1
99,98,1,9,88,2926,5,12.7,1.535,3.05,5.4,1,0.0,51.04,9,Tuesday,0
2473,98,5,7,56,1297,5,15.5,0.506,1.983,12.1,1,0.0,79.14,9,Tuesday,0
4124,98,1,7,49,213,1,8.1,1.064,0.663,5.7,1,0.0,41.59,9,Tuesday,0
100,99,5,3,199,1386,4,11.2,1.514,2.462,4.5,1,0.0,45.99,22,Sunday,0
101,100,3,6,37,1433,1,13.3,1.767,1.384,3.6,1,0.0,61.62,8,Sunday,0
976,100,3,7,57,2919,1,5.9,0.72,1.731,5.2,1,0.0,91.0,8,Sunday,0
9624,100,4,4,34,282,2,15.3,1.132,2.022,11.1,1,0.0,39.21,8,Sunday,0
103,101,5,7,26,2080,1,20.0,1.417,2.409,9.0,1,0.0,38.66,7,Tuesday,0
5468,101,2,5,13,577,2,7.2,1.252,1.748,5.2,1,0.0,40.21,7,Tuesday,0
104,102,4,9,43,2954,3,27.5,1.47,2.247,19.2,1,0.0,76.69,7,Wednesday,0
105,103,5,7,50,1507,5,13.5,0.764,2.414,7.0,1,0.0,77.75,23,Wednesday,0
106,104,4,8,14,2627,2,14.6,1.151,0.399,10.4,1,0.0,84.84,2,Thursday,0
432,104,4,2,165,436,2,14.3,1.26,1.67,8.4,1,0.0,32.47,2,Thursday,0
6492,104,1,6,91,2768,3,12.7,1.211,2.315,6.4,1,0.0,19.3,2,Thursday,0
107,105,3,6,57,1848,1,16.6,1.18,2.442,10.0,1,0.0,50.0,11,Thursday,0
108,106,3,1,183,2663,1,20.6,0.398,0.842,17.4,1,0.0,22.93,8,Friday,0
109,107,5,3,39,2248,1,21.0,1.256,1.911,14.9,1,0.0,35.47,8,Sunday,0
110,108,5,7,128,2445,1,15.5,1.324,2.429,6.2,1,0.0,23.87,23,Tuesday,0
5277,108,1,2,152,1648,1,21.1,1.359,1.438,15.9,1,0.0,45.39,23,Tuesday,0
6114,108,5,5,43,1235,4,12.5,0.841,1.536,5.5,1,0.0,27.33,23,Tuesday,0
6337,108,4,5,57,795,4,11.2,1.369,0.995,4.6,1,0.0,29.15,23,Tuesday,0
111,109,5,9,135,2229,1,16.5,0.681,2.657,8.7,1,0.0,43.85,9,Sunday,0
1683,109,2,3,102,1622,1,24.4,0.995,3.166,11.7,1,0.0,33.92,9,Sunday,0
4910,109,4,10,116,1282,2,12.6,0.448,2.508,5.9,1,0.0,63.85,9,Sunday,0
7360,109,5,8,123,2149,1,10.8,0.762,1.387,4.9,1,0.0,18.4,9,Sunday,0
112,110,1,9,89,988,1,17.7,0.361,0.681,15.8,1,0.0,78.08,9,Friday,0
2582,110,3,8,183,2553,2,16.2,0.745,1.24,13.0,1,0.0,86.67,9,Friday,0
113,111,4,10,17,2933,2,35.7,1.723,2.293,25.4,0,5.7,79.92,14,Saturday,1
1896,111,3,10,7,2966,3,28.1,0.992,1.228,20.8,1,0.0,17.53,14,Saturday,1
4048,111,2,5,110,2256,1,18.4,3.206,1.029,2.1,1,0.0,75.48,14,Saturday,1
6582,111,4,1,166,866,1,25.7,1.15,0.567,18.2,1,0.0,18.48,14,Saturday,1
114,112,2,5,10,2650,3,17.4,1.24,2.133,8.8,1,0.0,52.87,8,Monday,0
3374,112,2,7,12,2777,1,16.7,0.858,1.639,11.6,1,0.0,76.99,8,Monday,0
115,113,4,6,48,2033,5,9.9,1.718,1.358,5.5,1,0.0,42.12,2,Sunday,0
8564,113,2,6,108,1138,1,16.8,1.385,1.476,9.1,1,0.0,20.22,2,Sunday,0
116,114,3,9,84,2708,1,14.2,1.413,0.509,10.4,1,0.0,23.21,15,Wednesday,0
652,114,1,1,71,2842,2,7.2,1.676,0.829,2.2,1,0.0,60.81,15,Wednesday,0
846,114,5,10,46,1077,1,15.9,1.508,0.758,8.8,1,0.0,32.32,15,Wednesday,0
117,115,4,8,15,308,1,14.2,0.377,1.197,15.3,1,0.0,93.4,0,Monday,0
2686,115,3,6,2,1031,1,12.0,1.735,1.86,5.8,1,0.0,31.45,0,Monday,0
6901,115,3,1,146,1430,1,8.9,1.459,0.677,2.8,1,0.0,88.83,0,Monday,0
7855,115,3,4,140,836,1,10.3,1.219,1.141,4.7,1,0.0,43.85,0,Monday,0
118,116,3,9,200,2643,1,19.8,1.047,2.865,14.2,1,0.0,20.38,2,Tuesday,0
5748,116,3,8,146,2811,1,14.4,1.056,1.317,9.8,1,0.0,80.56,2,Tuesday,0
120,117,1,3,126,820,5,16.4,0.332,1.207,11.2,1,0.0,37.85,1,Thursday,0
